time_ms,ax,ay,az,wx,wy,wz
0,-1.548,-1.324,-0.452,42.0,-164.4,1.7
20,0.007,-0.951,-0.397,17.0,81.4,-103.0
42,2.232,-0.706,0.556,19.0,92.8,-18.6
62,0.503,-1.508,-0.019,121.7,-91.1,-247.3
83,0.503,-1.513,0.151,172.4,-69.1,-192.7
105,0.633,-1.505,0.037,202.0,165.3,-18.0
125,0.675,-1.538,0.015,215.2,364.9,-10.0
145,0.627,-1.231,-0.077,269.5,443.8,31.0
165,0.414,-1.156,-0.122,236.9,441.2,-16.7
186,0.582,-0.743,0.031,192.0,437.7,-14.3
206,0.614,-0.306,-0.05,120.1,397.6,8.5
227,0.256,-0.773,-0.166,119.0,302.8,254.2
247,-0.279,-0.578,0.038,74.3,-30.5,-98.4
267,-0.763,0.186,0.378,-143.9,-181.3,72.1
287,-1.046,0.35,0.174,-232.8,-731.9,338.2
309,-2.226,-0.98,1.891,198.0,-675.0,1120.3
330,0.605,0.98,1.827,-342.7,70.2,72.3
350,-0.967,-0.59,0.989,-337.6,-42.4,220.7
370,-0.768,-4.946,0.425,-208.6,-82.5,86.0
394,-1.07,-1.759,-0.673,366.2,-38.9,-32.6
414,-0.301,-0.587,0.411,266.1,41.6,-167.0
434,-0.006,-0.32,0.04,143.5,135.5,-294.6
455,-0.033,0.011,0.04,105.7,209.3,-324.8
475,-0.055,-0.012,0.058,112.6,202.8,-257.1
498,-0.254,-0.145,0.179,581.4,266.2,360.9
518,-2.174,2.436,3.921,543.8,509.3,49.5
538,-1.219,0.647,1.022,-29.8,373.3,-370.3
558,-1.921,-0.909,1.615,-484.1,374.8,-566.0
578,-1.571,-1.093,-0.313,-170.0,117.6,-1114.3
602,2.763,-4.408,1.162,-259.5,-66.4,-1143.5
622,0.095,0.199,0.052,-197.3,-97.3,-1307.3
642,1.901,0.458,-0.7,-89.4,334.3,-1565.3
665,0.054,0.138,0.055,-104.7,350.1,-1407.1
685,-0.033,0.263,0.104,-118.5,328.1,-1409.8
705,-0.029,0.271,0.105,-127.4,316.0,-1412.3
728,-0.03,0.278,0.102,-137.9,294.9,-1414.5
748,-0.031,0.284,0.101,-144.2,273.3,-1416.7
768,-0.032,0.413,0.359,-150.9,259.5,-1388.9
788,-1.889,-0.801,1.753,-522.4,1284.3,-143.9
808,0.043,-1.242,-1.445,-693.6,1238.4,71.3
828,-0.564,-0.126,-0.793,-473.1,1417.6,156.1
849,2.214,0.931,-2.313,85.7,432.8,255.8
869,0.053,0.052,-0.424,284.0,91.4,255.4
889,-0.002,0.037,0.015,323.8,-6.8,262.5
912,-0.005,0.036,0.017,324.3,-8.8,261.5
932,-0.002,0.034,0.013,324.8,-10.8,260.4
952,-0.005,0.035,0.015,325.5,-13.3,258.7
972,-9.499,3.434,-4.025,-151.2,-483.7,-167.0
992,-0.617,-0.31,-0.295,66.2,-166.8,-575.8
1012,-0.441,-0.096,-0.264,98.2,91.3,-725.4
1032,-0.955,-1.765,-0.82,135.0,231.7,-916.7
1056,0.362,-0.61,-0.366,188.0,279.9,-711.4
1077,0.039,-0.137,-0.31,161.1,220.5,-657.7
1097,-0.013,-0.147,-0.189,40.1,-45.7,-407.4
1119,0.063,-0.291,-0.25,47.7,-209.4,-168.0
1139,-0.072,-0.247,-0.15,87.6,-422.3,190.9
1159,-0.102,-0.407,-0.211,170.8,-615.7,542.2
1179,-1.397,-1.447,-1.927,200.6,-667.3,561.4
1199,-1.842,-1.567,0.738,280.0,-492.0,29.8
1219,-0.618,-0.175,0.51,-51.4,-48.2,-216.5
1241,-0.712,-0.446,0.393,-416.3,337.4,-434.1
1261,-0.901,-0.853,-0.232,-641.6,486.4,-554.5
1282,-0.295,-0.232,-0.331,-723.1,461.1,-578.6
1302,0.081,-0.661,-0.909,-858.8,442.4,-626.9
1322,-0.07,0.366,-0.243,-1037.1,316.9,-458.3
1342,1.041,0.479,-0.29,-888.8,818.5,-71.4
1362,0.106,0.133,-0.284,-891.5,819.6,-49.4
1385,0.306,0.281,-0.919,-1405.3,1386.8,-143.6
1405,0.293,0.313,-0.866,-1434.7,1373.1,-96.5
1425,0.276,0.333,-0.885,-1441.4,1361.4,-21.3
1445,0.26,0.354,-0.904,-1445.5,1354.9,32.6
1465,0.238,0.375,-0.925,-1444.3,1351.4,100.6
1485,0.219,0.393,-0.945,-1437.1,1349.6,178.7
1506,0.199,0.415,-0.959,-1422.8,1350.5,233.7
1526,0.015,0.212,-0.244,456.8,-365.1,248.4
1548,0.03,0.031,-0.021,455.6,-370.7,253.7
1568,0.03,0.03,-0.02,451.2,-373.2,254.5
1588,0.311,0.925,-3.698,206.9,669.3,-107.9
1608,0.049,0.017,-0.15,-480.1,809.2,-168.1
1628,0.385,-0.179,-1.12,-555.8,-352.0,222.0
1649,0.459,0.234,-1.656,-103.6,-24.2,408.4
1669,0.103,0.366,-0.919,94.9,-71.3,396.3
1689,0.061,0.168,-0.761,341.3,-42.0,398.7
1709,0.488,1.223,-2.061,146.3,163.1,114.5
1730,0.03,-0.127,-0.881,-107.8,-107.1,95.4
1750,-0.05,0.009,-1.025,-4.5,17.9,0.0
1770,0.02,-0.031,-0.95,2.5,-8.9,0.4
1790,0.02,-0.013,-0.966,2.8,-3.6,0.2
1810,0.014,-0.016,-0.964,1.0,-2.3,0.2
1831,0.012,-0.016,-0.965,0.6,-2.5,0.2
1851,0.013,-0.018,-0.964,0.7,-2.5,0.2
1871,0.013,-0.016,-0.963,0.7,-2.5,0.2
1891,0.015,-0.015,-0.961,0.7,-2.4,0.3
1912,0.013,-0.018,-0.964,0.7,-2.6,0.4
1932,0.011,-0.016,-0.966,0.6,-2.5,0.2
1952,0.014,-0.017,-0.962,0.7,-2.6,0.2
1972,0.013,-0.015,-0.962,0.5,-2.6,0.2
1993,0.012,-0.016,-0.962,0.6,-2.7,0.2
2013,0.011,-0.017,-0.967,0.6,-2.6,0.2
2033,0.012,-0.017,-0.965,0.7,-2.5,0.4
2053,0.013,-0.019,-0.961,0.6,-2.6,0.2
2073,0.013,-0.017,-0.963,0.7,-2.6,0.2
2093,0.011,-0.017,-0.965,0.7,-2.6,0.3
2113,0.012,-0.016,-0.965,0.7,-2.5,0.2
2135,0.01,-0.016,-0.962,0.7,-2.6,0.2
2155,0.014,-0.017,-0.962,0.6,-2.5,0.3
2175,0.013,-0.016,-0.963,0.6,-2.7,0.2
