time_ms,ax,ay,az,wx,wy,wz
0,2.469,0.233,-0.681,13.9,235.2,-157.2
20,0.533,1.105,0.22,25.6,272.4,-51.8
41,-0.131,1.238,0.274,-26.2,306.1,-184.8
61,-0.275,1.619,-0.535,122.9,404.6,-163.1
81,-0.544,1.66,0.043,244.9,463.2,-156.3
101,-0.691,1.423,0.517,223.3,60.5,-102.7
121,-0.342,1.2,0.326,246.7,-49.4,-136.8
141,-0.077,1.19,0.343,254.5,-81.2,-151.7
161,0.047,1.18,0.151,255.2,-59.5,-108.0
181,-0.051,1.19,0.027,263.4,-22.8,-88.6
202,-0.206,1.143,-0.116,286.7,-14.0,-60.7
222,-0.409,1.105,-0.305,379.0,-131.6,-81.9
242,-0.472,0.996,-0.132,451.5,-262.9,-151.7
262,-0.552,0.877,-0.304,477.3,-278.4,-196.7
282,-0.491,0.681,-0.175,454.9,-135.8,-141.1
303,-0.492,0.538,-0.257,498.5,2.8,152.2
327,-0.616,0.102,0.116,428.0,-87.0,205.2
347,-0.444,-0.045,-0.202,460.8,-235.2,-51.0
367,-0.482,-0.232,-0.306,585.9,-258.2,-338.5
387,-0.47,-0.08,-0.17,730.1,-297.1,-610.1
408,0.329,-1.897,1.328,93.8,501.0,511.5
428,-0.305,-0.35,0.11,-189.9,671.7,349.3
448,-0.501,-0.58,0.477,-229.8,647.2,673.3
469,-1.492,-0.779,-0.813,-288.3,613.3,835.3
490,-0.92,-0.319,-0.658,-435.1,603.1,766.7
510,-1.629,0.663,-2.347,-39.5,782.5,500.7
530,-1.115,-0.189,-2.993,-157.8,738.5,227.8
552,-0.494,-0.435,-2.558,-110.3,151.8,114.3
572,-0.901,0.021,-1.917,-85.3,-94.6,126.7
592,-0.533,0.272,-1.298,47.8,-73.0,-49.1
613,-0.2,0.087,-0.466,324.8,-88.9,-131.3
633,-0.011,0.025,0.005,352.8,-89.4,-129.2
653,-0.014,0.031,0.003,353.5,-88.4,-127.8
675,-0.015,0.037,0.0,354.2,-87.1,-126.7
699,5.759,-0.756,-6.124,-1001.4,-881.1,-1397.1
719,4.706,2.412,-4.946,-728.0,229.6,-330.0
739,0.059,0.102,-0.078,-724.5,231.4,-331.1
759,0.063,0.123,-0.012,-1200.2,247.2,397.8
779,-0.098,0.444,-0.517,-1464.4,210.7,416.5
801,0.054,0.659,0.732,-70.0,347.6,-725.0
821,-0.043,0.081,0.078,138.0,56.6,-368.2
841,-0.341,0.584,0.454,314.7,-3.1,2.1
865,-0.504,0.884,0.225,-14.7,-301.4,418.1
885,-0.153,1.483,0.6,15.8,-327.6,662.6
905,0.036,0.116,0.179,-50.6,-82.6,-43.1
925,0.415,1.397,0.781,72.8,-82.3,26.8
945,0.156,0.813,0.34,10.8,3.8,-16.5
967,-0.036,1.085,-0.081,8.6,-4.8,3.0
991,-0.026,0.951,0.097,6.0,-2.5,-1.0
1011,-0.023,1.024,0.02,-3.8,-2.4,-0.9
1031,-0.024,1.013,0.023,0.0,-2.5,0.3
1051,-0.025,1.006,0.032,0.4,-2.5,-0.1
1071,-0.025,1.008,0.037,0.8,-2.6,0.1
1091,-0.025,1.005,0.034,0.9,-2.5,0.2
1111,-0.024,1.006,0.03,0.8,-2.6,0.0
1131,-0.03,1.007,0.031,0.7,-2.5,0.2
1152,-0.022,1.005,0.034,0.7,-2.6,0.2
1172,-0.023,1.007,0.035,0.7,-2.4,0.3
1192,-0.023,1.005,0.033,0.8,-2.5,0.1
1212,-0.028,1.005,0.031,0.7,-2.5,0.2
1232,-0.028,1.006,0.032,0.7,-2.5,0.2
1255,-0.023,1.006,0.037,0.7,-2.7,0.1
1275,-0.021,1.006,0.036,0.7,-2.5,0.1
1295,-0.022,1.007,0.032,0.7,-2.4,0.1
1315,-0.026,1.007,0.032,0.7,-2.6,0.0
1335,-0.026,1.006,0.033,0.7,-2.8,0.2
1355,-0.025,1.004,0.034,0.6,-2.5,0.1
1375,-0.023,1.006,0.035,0.6,-2.5,0.0
1395,-0.026,1.004,0.033,0.7,-2.5,0.0
1415,-0.026,1.008,0.036,0.7,-2.6,0.0
