time_ms,ax,ay,az,wx,wy,wz
0,-0.558,-0.991,0.422,28.4,-504.0,-8.1
20,-0.116,-1.762,1.472,100.6,-119.4,173.5
41,0.13,-1.275,0.047,38.9,109.9,83.7
61,0.081,-1.264,0.238,-137.9,34.0,108.3
81,0.069,-1.488,0.435,-211.4,10.1,199.7
101,-0.015,-1.495,0.492,-310.7,16.5,275.4
121,0.101,-1.413,0.419,-363.2,51.1,363.7
141,0.091,-1.419,0.261,-387.8,95.4,406.0
161,0.083,-1.32,-0.169,-393.6,189.9,489.1
183,0.004,-1.053,-0.347,-373.5,205.1,534.9
203,-0.23,-0.511,-0.714,-108.6,374.0,668.9
223,0.259,-0.709,-0.26,-5.3,421.7,656.0
246,0.14,-0.222,-0.428,-327.5,85.0,623.5
266,-0.282,0.042,-0.421,-193.4,-164.3,534.5
286,-0.105,0.094,-0.204,-261.3,-294.7,477.8
309,0.478,0.333,-0.97,-371.5,-293.7,398.0
329,0.91,1.107,-1.252,-336.6,-194.9,303.8
349,0.912,1.52,-0.7,-623.0,22.3,184.4
369,1.691,1.912,1.562,-83.4,149.8,-446.9
389,0.296,2.396,-0.096,395.6,-324.1,-276.5
413,-0.173,2.469,-0.273,-7.8,-118.1,41.5
433,0.412,1.846,-0.028,130.2,-143.1,-299.3
454,0.153,1.666,-0.039,103.7,-126.7,-515.8
474,-0.187,1.88,-0.032,33.1,-70.2,-697.4
494,-0.57,2.031,-0.168,-184.6,-135.1,-849.3
514,-0.483,1.304,-0.63,-192.4,-170.8,-825.6
534,-0.173,0.377,-0.543,4.5,-58.8,-788.2
554,-0.042,0.101,0.038,48.8,-35.4,-773.8
576,-0.037,0.094,0.033,55.6,-39.0,-770.0
596,-1.678,2.316,-0.749,1831.5,231.2,-2293.4
616,0.047,0.627,-0.559,-1171.3,-693.8,-1254.1
636,0.116,0.722,-0.522,-1107.8,-745.8,-1323.4
658,0.102,0.726,-0.511,-1025.8,-783.7,-1338.4
678,0.082,0.73,-0.506,-935.8,-830.3,-1368.7
698,1.29,3.982,-1.6,-1683.4,-695.0,-317.5
718,-0.469,1.075,-1.42,-2293.4,-619.5,391.0
738,-0.484,1.081,-1.38,-2293.4,-537.8,412.3
759,0.476,-0.061,0.958,-866.2,979.3,379.4
783,0.026,0.07,-0.115,-827.5,405.0,-239.1
804,0.07,0.103,-0.117,-836.0,398.5,-234.5
828,0.209,0.251,-0.285,-1215.2,446.6,-576.3
848,2.464,-7.385,-0.121,369.3,-0.4,-282.5
869,-0.038,0.039,0.004,372.6,2.9,-280.7
889,0.526,-0.251,-0.171,-552.7,-646.0,0.2
909,0.123,-0.025,0.017,-28.1,-318.2,193.0
929,0.186,-0.144,-0.041,270.0,-211.8,421.2
949,-0.859,-3.473,-0.779,-371.5,-109.7,-11.7
969,-0.222,-0.924,-0.454,-161.9,-197.1,-44.5
989,-0.034,-0.905,-0.476,183.1,-216.4,-18.0
1011,-0.039,-1.218,-0.388,386.5,-210.8,14.3
1031,-0.126,-1.064,0.37,-5.5,11.5,-40.9
1051,0.111,-1.051,-0.145,2.5,-5.0,14.8
1071,-0.055,-1.006,0.057,-6.0,-1.6,-4.1
1091,-0.028,-0.99,0.089,-0.6,-2.3,-0.4
1111,-0.016,-1.001,0.062,0.1,-2.4,0.2
1133,-0.009,-1.005,0.054,0.9,-2.5,0.2
1153,-0.009,-1.002,0.057,0.9,-2.5,0.2
1173,-0.009,-1.001,0.061,0.7,-2.5,0.2
1193,-0.009,-1.002,0.064,0.6,-2.6,0.2
1214,-0.012,-1.0,0.061,0.6,-2.5,0.1
1238,-0.01,-1.002,0.06,0.7,-2.6,0.0
1258,-0.008,-1.002,0.057,0.7,-2.7,0.1
1281,-0.009,-1.003,0.06,0.7,-2.6,0.1
1301,-0.009,-1.003,0.061,0.7,-2.6,0.2
1323,-0.01,-1.003,0.06,0.7,-2.4,0.2
1343,-0.008,-1.003,0.055,0.7,-2.6,0.2
1363,-0.009,-1.002,0.057,0.7,-2.5,0.2
1383,-0.008,-1.001,0.062,0.7,-2.5,0.0
1403,-0.009,-1.001,0.061,0.6,-2.3,0.2
1423,-0.008,-1.002,0.06,0.7,-2.5,0.2
1447,-0.008,-1.001,0.056,0.7,-2.5,0.2
1467,-0.008,-1.003,0.057,0.7,-2.5,0.2
1487,-0.008,-0.999,0.059,0.7,-2.5,0.2
1507,-0.01,-1.001,0.061,0.6,-2.5,0.1
