time_ms,ax,ay,az,wx,wy,wz
0,-0.959,-0.205,0.057,-72.5,-31.6,60.7
20,-1.119,0.452,-0.743,10.9,-31.9,-43.8
44,-1.678,-0.249,-0.04,78.6,-84.8,-176.0
64,-1.564,-0.534,-0.026,213.2,-129.2,97.1
84,-1.055,-0.003,-0.221,244.8,-135.2,219.6
106,-1.233,0.404,0.039,112.1,-140.5,171.7
127,-1.7,0.228,0.195,-9.9,-198.2,117.8
147,-1.64,-0.063,-0.141,-3.6,-253.8,199.0
168,-1.485,-0.201,-0.151,20.6,-268.2,220.9
190,-1.295,-0.241,-0.203,-38.7,-299.0,171.6
211,-1.073,-0.157,-0.083,-84.7,-369.3,163.7
231,-0.722,0.099,0.055,-200.5,-497.9,-5.5
252,-0.588,0.318,0.252,-290.8,-411.0,-74.2
275,-0.021,-0.135,0.109,-270.0,-238.6,12.3
295,-0.02,-0.023,0.021,-223.4,-227.9,96.0
315,-0.032,0.012,0.026,-221.2,-225.5,96.6
335,-0.031,0.013,0.029,-223.1,-223.6,95.7
355,-3.138,1.164,3.003,-661.2,-892.5,-225.3
375,1.569,-0.794,1.247,-361.6,-471.4,-192.5
395,1.511,-0.4,-0.022,-38.3,422.1,-383.5
415,1.209,0.154,1.379,68.0,508.6,-78.4
435,0.599,0.011,1.046,-42.6,538.5,-76.9
455,0.386,-0.16,0.992,-5.1,564.9,-31.1
475,-0.196,-0.006,1.171,-47.6,409.8,-80.7
495,0.181,-0.026,1.437,-75.7,373.8,-28.8
515,0.234,-0.206,1.471,-109.6,373.9,2.2
535,0.157,-0.172,1.519,-154.6,359.8,36.1
555,-0.008,-0.159,1.398,-174.5,310.5,69.7
575,-0.123,-0.201,1.282,-184.0,211.6,114.8
599,-0.18,-0.165,1.011,-176.4,183.0,155.0
619,-0.253,0.026,0.693,-185.0,263.9,187.0
639,-0.417,0.014,0.397,-209.0,327.1,79.3
659,-0.13,0.045,-0.004,-222.0,341.3,46.2
679,-0.019,0.015,-0.009,-221.7,341.0,49.4
702,-0.02,0.016,-0.016,-220.9,341.1,52.1
723,-5.955,-0.719,-4.475,-1706.6,792.0,1576.3
743,-0.165,0.955,-1.43,-1315.4,1576.6,1280.5
766,-0.14,0.977,-1.372,-1150.1,1596.7,1373.0
786,-0.161,0.997,-1.337,-973.0,1620.7,1462.8
806,-0.208,1.014,-1.281,-799.5,1635.2,1544.9
826,-1.224,1.034,-0.315,164.9,2114.3,730.7
846,-0.604,0.208,-0.21,177.1,1591.3,-214.3
866,-0.121,-0.028,-0.494,140.2,1591.5,-212.1
886,-6.225,0.345,-2.936,240.8,1221.4,-694.1
906,-0.33,-0.048,-0.29,137.9,1015.7,-419.1
926,-0.082,-0.044,-0.185,37.4,1057.6,-414.7
946,-0.013,-0.597,0.269,477.1,201.2,-267.1
968,0.465,-1.443,-1.112,652.0,204.1,-91.5
988,0.092,-0.39,-0.363,820.2,135.4,114.3
1011,0.027,-0.199,-0.301,1000.6,98.6,258.8
1031,0.182,-0.21,4.059,1122.2,56.7,199.9
1051,-0.065,0.093,-0.061,640.2,7.0,-373.5
1073,0.515,-0.543,0.617,531.3,123.0,-123.2
1093,-0.081,-0.388,0.434,616.2,13.5,77.2
1113,-0.302,-0.415,0.444,725.0,-9.1,78.7
1133,-0.186,-0.149,0.36,961.5,-47.2,103.1
1155,1.254,1.384,2.328,14.2,-224.6,-196.8
1175,0.297,0.446,0.625,-150.9,37.7,-318.1
1195,0.511,-0.124,0.636,-149.3,336.4,-394.9
1215,-0.1,0.114,0.463,23.8,-91.3,-114.3
1239,-0.22,-0.001,1.058,-35.3,-8.9,-0.8
1259,-0.06,0.041,1.058,12.1,-2.1,0.4
1283,-0.066,0.003,1.043,2.7,-2.3,0.4
1303,-0.068,0.013,1.048,1.1,-2.7,0.3
1323,-0.068,0.019,1.046,0.9,-2.7,0.3
1344,-0.07,0.022,1.046,0.6,-2.6,0.2
1364,-0.067,0.021,1.05,0.6,-2.6,0.2
1384,-0.069,0.023,1.047,0.7,-2.6,0.3
1406,-0.068,0.022,1.047,0.7,-2.5,0.2
1426,-0.069,0.024,1.047,0.7,-2.5,0.2
1446,-0.066,0.022,1.049,0.6,-2.7,0.3
1466,-0.065,0.022,1.049,0.8,-2.5,0.3
1487,-0.065,0.022,1.05,0.7,-2.6,0.3
1510,-0.068,0.023,1.046,0.8,-2.7,0.3
1530,-0.068,0.02,1.047,0.7,-2.5,0.4
1553,-0.068,0.02,1.048,0.9,-2.6,0.2
1574,-0.065,0.021,1.046,0.7,-2.4,0.3
1594,-0.067,0.021,1.05,0.7,-2.5,0.3
1615,-0.067,0.025,1.045,0.7,-2.6,0.2
1635,-0.066,0.023,1.049,0.8,-2.6,0.2
1655,-0.068,0.021,1.048,0.7,-2.6,0.3
1677,-0.066,0.021,1.047,0.8,-2.5,0.2
1697,-0.068,0.024,1.046,0.7,-2.6,0.2
