time_ms,ax,ay,az,wx,wy,wz
0,1.415,1.213,-0.313,-256.0,13.3,53.9
20,1.548,-0.153,0.324,-381.2,-176.6,79.2
40,1.554,-0.588,-0.131,-443.0,-20.2,7.7
60,1.519,-0.561,-0.238,-375.7,158.9,-86.6
80,1.338,-0.854,-0.291,-350.6,155.1,-115.9
100,1.385,-0.826,-0.143,-168.6,12.4,-180.5
120,1.447,-0.787,-0.039,-98.4,-19.5,-234.2
143,1.071,-0.908,0.229,-25.5,-41.8,-242.0
164,0.738,-0.592,0.197,-31.1,-5.1,-246.3
184,0.656,-0.342,0.076,1.1,-55.0,-370.2
204,0.909,0.224,0.056,-147.7,36.8,-314.5
228,0.44,-0.269,0.245,-229.6,38.3,-327.1
249,0.181,0.301,0.337,-272.5,-59.9,-317.2
269,0.014,0.009,-0.066,-109.6,-211.5,-291.2
289,-0.027,0.06,0.053,-27.7,-222.6,-321.0
309,0.152,0.97,0.961,-1.6,-262.9,-222.0
332,-0.507,1.184,1.009,69.4,-373.1,28.3
352,-0.394,1.214,0.729,450.6,-348.8,214.4
374,-0.152,0.979,-0.172,1028.0,-231.4,388.2
398,0.621,1.55,-1.102,1887.2,-43.8,1029.3
422,0.037,0.233,-1.145,1378.7,506.7,648.4
442,0.917,0.163,-1.051,1370.9,301.8,815.2
463,0.635,-0.095,-0.31,1167.8,161.7,977.3
483,-0.569,-3.135,-1.097,1548.6,66.1,923.0
505,0.561,0.318,-0.561,1905.6,157.2,1037.1
525,0.199,0.688,-0.82,1957.5,93.1,778.6
545,1.992,6.123,-2.452,2291.7,-301.4,744.1
565,-0.356,0.654,-0.624,1624.1,57.3,-936.6
585,-0.387,0.629,-0.623,1621.1,130.2,-929.1
605,-0.402,0.615,-0.613,1615.1,180.3,-931.0
625,-0.416,0.594,-0.598,1604.5,247.7,-931.0
645,4.087,-1.155,-2.295,2143.3,789.3,-787.0
665,-0.098,0.209,-0.228,581.5,-539.2,-696.4
685,-0.068,0.219,-0.198,605.2,-530.4,-677.0
705,-0.064,0.216,-0.201,630.4,-519.4,-659.6
728,-0.062,0.216,-0.206,659.4,-507.3,-643.7
748,4.143,2.989,-2.851,353.2,1035.0,162.4
769,0.259,0.126,0.0,438.8,-116.4,-400.4
789,0.283,0.229,0.072,489.5,-368.2,-144.2
809,0.063,0.061,0.013,253.5,-55.5,176.0
829,0.586,0.313,-0.196,198.0,174.1,415.3
849,0.255,-0.175,-0.101,-13.8,-31.4,2.7
869,1.016,0.107,0.106,-3.2,16.2,-24.3
889,0.987,-0.028,0.068,1.8,-7.0,7.0
909,0.99,0.035,0.084,0.8,-3.8,1.8
929,0.988,0.016,0.081,0.7,-2.9,0.2
949,0.988,0.009,0.084,0.7,-2.7,0.4
969,0.99,0.007,0.081,0.5,-2.7,0.0
989,0.991,0.006,0.08,0.7,-2.6,0.0
1009,0.991,0.007,0.081,0.7,-2.5,0.0
1029,0.99,0.007,0.082,0.7,-2.6,0.0
1051,0.99,0.007,0.082,0.6,-2.6,0.1
1074,0.989,0.01,0.079,0.7,-2.5,0.1
1094,0.989,0.006,0.081,0.7,-2.6,0.0
1114,0.992,0.008,0.081,0.7,-2.6,0.1
1134,0.99,0.007,0.083,0.6,-2.7,0.0
1154,0.99,0.009,0.083,0.7,-2.5,0.1
1174,0.989,0.007,0.081,0.6,-2.5,0.1
1197,0.99,0.008,0.08,0.7,-2.5,0.2
1217,0.991,0.008,0.081,0.7,-2.7,0.2
1237,0.991,0.006,0.081,0.7,-2.5,0.2
1257,0.99,0.005,0.083,0.7,-2.6,0.1
1279,0.991,0.006,0.081,0.6,-2.5,0.2
1300,0.991,0.006,0.08,0.7,-2.5,0.2
1320,0.99,0.007,0.081,0.7,-2.6,0.0
1340,0.991,0.005,0.081,0.7,-2.5,0.2
