time_ms,ax,ay,az,wx,wy,wz
0,1.012,-0.689,-0.309,368.1,-5.8,-125.3
23,0.978,-0.456,-0.169,77.7,25.4,-27.1
43,1.244,4.082,-1.387,78.4,-60.7,-253.6
64,1.246,0.112,-0.306,-30.9,173.3,-163.7
84,1.6,0.362,0.527,79.3,216.5,-141.7
104,1.336,0.531,0.154,-50.4,271.0,-71.6
124,1.465,0.763,0.031,-146.0,342.4,-29.2
144,1.431,0.69,-0.065,-182.2,385.7,-41.0
164,1.37,0.571,0.036,-331.5,295.6,-54.6
184,1.156,0.481,-0.086,-445.9,311.8,30.5
206,1.007,0.606,-0.034,-424.9,350.2,42.4
227,0.548,0.293,-0.172,-340.3,533.1,102.0
247,0.229,0.16,0.124,-327.1,639.5,313.6
267,0.153,-0.207,-0.101,-287.9,754.7,311.1
290,-0.025,0.068,-0.141,-119.8,765.3,302.2
310,-1.321,-3.011,2.657,402.0,866.7,114.0
330,-0.312,-0.159,0.069,529.6,840.3,78.9
350,-0.294,-0.048,-0.091,603.3,838.5,144.9
370,-4.201,1.231,0.341,425.5,507.8,-402.7
394,-0.881,-0.232,-0.468,615.6,21.6,-535.1
414,-1.02,-0.735,-0.739,937.1,-238.9,-540.2
435,-0.568,-1.767,1.628,859.3,-350.6,-402.1
455,-0.015,-0.282,0.414,706.0,105.3,16.3
476,-0.364,-1.063,1.22,624.6,159.6,202.3
496,-0.476,-0.708,1.18,480.8,121.5,384.3
516,-0.635,-0.872,1.281,308.8,145.6,483.7
536,-0.779,-0.938,1.33,253.9,206.0,576.5
556,-0.854,-0.63,1.064,252.9,210.9,635.4
576,-1.225,-0.275,1.135,408.0,177.3,507.8
598,-1.195,1.037,1.325,265.2,-124.8,449.4
618,-0.34,0.873,0.557,142.8,-550.0,892.9
638,0.003,0.082,0.066,155.8,-662.8,1093.6
660,-0.01,0.067,0.062,112.9,-673.6,1090.6
682,-0.03,0.066,0.06,72.8,-685.3,1086.1
702,-0.051,0.066,-7.787,565.3,-1266.0,1695.0
722,0.24,-0.362,-2.403,689.7,-2293.4,894.8
746,-0.046,-0.429,-2.317,308.2,-2293.4,940.4
766,-0.314,-0.427,-2.3,-88.2,-2293.4,946.1
787,4.267,-4.623,2.776,92.8,-2293.4,213.1
807,5.439,-2.848,-3.025,-287.7,-2293.4,-525.7
827,-0.395,0.501,-3.034,-297.7,-2293.4,-524.4
847,-0.397,0.504,-3.018,-307.8,-2293.4,-524.9
867,-0.323,0.132,-2.442,-122.1,-2293.4,-81.1
887,4.235,-4.167,-1.418,-81.2,-2293.4,72.5
907,-0.276,0.031,-1.964,-193.5,-2293.4,72.9
927,-0.331,0.047,-1.968,-281.8,-2293.4,66.6
947,-5.551,0.187,-2.457,-1369.2,-2293.4,689.4
967,-0.895,0.283,-1.765,-1422.1,-2293.4,402.5
989,-0.563,0.675,-1.685,-1599.8,-2113.8,-270.4
1013,-0.487,0.322,-0.877,-824.6,-912.3,73.8
1033,-0.161,0.133,-0.301,-831.3,-894.3,49.0
1055,-0.155,0.143,-0.304,-844.7,-881.7,32.7
1075,-0.152,0.151,-0.311,-860.8,-869.1,9.4
1095,-0.146,0.16,-0.322,-876.0,-864.5,-12.2
1115,-0.469,0.486,-4.853,-1821.4,-1280.8,367.3
1135,-1.666,3.16,0.128,-1222.5,-496.3,-222.3
1155,-1.813,-0.11,1.382,-877.5,-869.8,237.5
1175,-0.162,0.017,-0.095,-440.3,-878.7,586.3
1196,-0.171,0.027,-0.1,-473.2,-868.0,575.2
1217,-0.699,1.788,-0.659,655.6,-142.9,1048.6
1237,1.713,3.881,0.009,58.8,210.9,-152.6
1259,-0.02,0.035,0.028,56.2,211.0,-146.3
1279,0.762,2.475,-0.366,230.6,11.4,-45.0
1299,-0.059,1.226,-0.312,78.7,-28.1,32.2
1319,-0.018,1.066,-0.263,-36.2,5.8,-0.9
1339,-0.069,1.007,-0.126,-66.2,-7.5,-31.0
1359,-0.086,0.954,-0.057,-6.5,-1.8,7.7
1379,-0.071,1.008,-0.18,14.0,-2.1,7.3
1399,-0.042,0.998,-0.133,-9.8,-3.5,-6.0
1419,-0.059,0.983,-0.128,5.7,-2.7,0.9
1439,-0.055,0.99,-0.144,0.0,-2.9,-1.3
1459,-0.062,0.987,-0.131,1.8,-2.6,0.5
1479,-0.06,0.987,-0.138,-0.5,-2.7,-0.3
1499,-0.061,0.989,-0.134,1.3,-2.8,0.3
1519,-0.062,0.99,-0.135,0.2,-2.6,0.1
1539,-0.06,0.994,-0.136,0.5,-2.5,0.0
1559,-0.062,0.989,-0.133,0.6,-2.6,0.2
1583,-0.061,0.99,-0.136,0.4,-2.6,0.1
1603,-0.061,0.99,-0.134,0.6,-2.5,0.1
1623,-0.059,0.99,-0.138,0.7,-2.6,0.1
1645,-0.063,0.991,-0.131,0.7,-2.5,0.1
1666,-0.062,0.989,-0.136,0.7,-2.5,0.1
1686,-0.06,0.99,-0.136,0.7,-2.6,0.1
1707,-0.06,0.99,-0.134,0.7,-2.4,0.2
1727,-0.061,0.989,-0.132,0.7,-2.6,0.1
1748,-0.061,0.99,-0.133,0.7,-2.7,0.1
1768,-0.06,0.991,-0.135,0.7,-2.7,0.0
1788,-0.062,0.991,-0.135,0.7,-2.6,0.2
1808,-0.061,0.989,-0.136,0.5,-2.7,0.0
1828,-0.062,0.995,-0.137,0.6,-2.6,0.2
1848,-0.061,0.988,-0.136,0.4,-2.8,0.0
