time_ms,ax,ay,az,wx,wy,wz
0,-0.612,0.732,-0.023,16.4,258.1,13.3
21,-0.838,1.084,0.319,8.4,163.6,20.8
42,3.292,1.739,-0.105,-86.8,-265.8,327.5
62,0.414,1.548,0.492,34.5,-82.8,172.6
82,-0.175,1.455,0.37,136.6,-34.6,9.1
102,0.041,1.501,0.394,221.9,-81.6,-97.7
124,0.27,1.983,0.622,240.3,-107.5,-86.3
144,0.082,1.542,0.642,242.6,-132.2,-86.7
167,0.103,1.098,0.671,190.3,-161.0,-138.3
187,0.106,0.973,0.303,268.1,-165.7,-207.2
209,-0.01,0.76,0.074,284.6,-47.3,-146.4
229,-0.033,1.036,0.122,384.5,9.8,-108.2
252,-0.007,0.724,-0.047,360.0,74.2,-153.7
276,-0.111,0.454,-0.181,447.0,75.8,70.2
296,-0.229,0.541,-0.374,444.4,114.3,247.9
318,-0.404,0.388,-0.533,463.1,96.2,287.2
338,0.033,0.21,-0.188,479.2,192.5,390.8
360,0.014,0.53,-0.506,461.7,390.1,626.2
380,-0.245,-0.061,-1.057,335.4,810.8,426.3
400,-1.029,-0.732,-1.344,-147.1,413.9,80.9
421,0.448,-0.842,-0.658,-126.9,32.4,109.3
441,-0.549,-1.34,-1.369,-289.1,52.0,196.9
461,-0.64,-1.064,-1.133,-337.4,114.6,66.5
481,-0.4,-1.199,-1.287,-418.8,254.5,-166.3
501,0.079,-1.326,-1.416,-511.9,344.4,-302.8
521,0.344,-0.932,-1.278,-717.4,356.8,-370.2
541,3.16,1.003,-2.555,-963.6,525.0,-42.3
561,0.877,-0.484,-2.196,-320.1,810.1,-196.8
581,1.221,0.727,-1.537,-41.2,648.8,162.8
601,1.384,1.175,-0.718,-174.3,645.7,338.4
621,0.727,1.296,-0.324,-510.7,649.1,308.0
641,-0.001,0.093,-0.17,-587.0,656.8,239.7
661,-0.003,0.097,-0.168,-577.9,658.0,254.1
685,-0.005,0.091,1.228,-530.2,787.0,308.2
705,-4.397,3.82,5.006,1323.2,1696.5,727.9
725,-0.026,0.588,-1.149,1123.0,1606.3,840.7
745,-0.02,0.607,-1.13,1175.6,1566.8,854.2
765,-0.008,0.625,-1.117,1233.9,1508.2,871.2
785,0.0,0.64,-1.103,1287.3,1454.2,884.5
805,1.257,0.11,-0.384,852.3,1233.9,448.4
825,-0.049,0.264,-0.587,871.5,1221.2,461.3
846,0.08,0.726,-1.391,966.5,1792.4,1116.5
866,0.043,0.783,-1.328,1098.0,1715.8,1143.3
888,0.047,0.826,-1.312,1180.8,1649.5,1161.6
908,0.058,0.859,-1.299,1274.0,1556.9,1175.7
931,0.06,0.538,-0.235,162.5,591.8,1443.3
952,0.078,0.533,-0.223,242.6,546.5,1448.5
972,0.146,0.7,-0.119,714.4,63.9,1522.9
992,0.231,0.488,-0.11,738.4,372.0,1008.7
1013,0.112,0.39,-0.315,901.1,467.7,965.0
1033,0.114,0.382,-0.13,919.4,406.6,1011.1
1053,-0.508,-0.937,1.16,747.4,334.2,1101.5
1073,-0.47,-0.449,0.566,556.5,293.0,513.4
1093,-0.161,-0.08,0.105,515.1,246.8,338.3
1113,-0.162,-0.193,0.604,663.6,125.3,399.9
1133,-0.316,-0.108,0.248,824.3,-80.3,484.3
1153,0.032,0.265,-0.139,247.8,-598.0,118.5
1173,-0.244,0.177,0.33,-71.4,-750.8,-171.9
1194,0.221,-0.15,0.228,169.0,-62.3,-123.7
1214,-0.291,0.187,1.587,39.6,19.3,-97.0
1234,-0.145,0.065,1.063,15.6,-4.4,-120.1
1254,-0.122,0.209,1.079,3.6,-3.4,-137.7
1274,-0.064,0.112,1.015,11.2,-6.8,-118.3
1294,-0.074,0.096,1.054,0.7,-3.7,-58.5
1315,-0.04,0.032,1.052,0.8,-2.5,0.3
1335,-0.052,0.015,1.049,0.7,-2.5,0.2
1355,-0.05,0.013,1.05,0.7,-2.5,0.3
1377,-0.049,0.013,1.052,0.6,-2.4,0.4
1397,-0.047,0.017,1.049,0.7,-2.5,0.2
1417,-0.048,0.015,1.051,0.7,-2.6,0.1
1439,-0.048,0.015,1.05,0.7,-2.5,0.1
1459,-0.049,0.016,1.053,0.7,-2.5,0.2
1481,-0.046,0.016,1.049,0.6,-2.7,0.1
1501,-0.051,0.013,1.049,0.7,-2.6,0.1
1525,-0.051,0.015,1.046,0.7,-2.5,0.2
1546,-0.05,0.016,1.048,0.7,-2.5,0.2
1566,-0.05,0.016,1.048,0.8,-2.7,0.2
1590,-0.049,0.013,1.05,0.7,-2.5,0.1
1610,-0.049,0.012,1.05,0.7,-2.6,0.0
1630,-0.049,0.017,1.051,0.7,-2.5,0.0
1652,-0.049,0.017,1.051,0.7,-2.5,0.2
1672,-0.05,0.015,1.048,0.7,-2.5,0.1
1693,-0.047,0.015,1.049,0.7,-2.5,0.1
1713,-0.05,0.017,1.048,0.7,-2.5,0.1
1734,-0.047,0.015,1.049,0.7,-2.5,0.0
