time_ms,ax,ay,az,wx,wy,wz
0,-0.341,-0.381,0.955,27.9,-37.1,258.8
20,-0.402,0.035,1.118,-19.6,-11.1,111.9
40,-0.131,-0.358,1.036,47.3,63.7,-210.0
62,0.097,0.757,1.315,136.9,-46.8,-146.6
82,0.153,0.211,1.426,267.7,-92.5,-95.3
102,-0.035,0.278,1.448,282.0,-17.3,-224.8
124,0.107,0.53,1.57,370.7,83.7,-366.0
145,0.499,0.551,1.795,458.6,133.7,-311.7
165,0.404,0.29,1.588,461.6,102.9,-251.0
185,0.058,0.462,1.332,480.6,184.2,-443.8
205,0.641,0.347,1.092,581.7,297.0,-343.7
225,0.79,0.158,0.906,494.9,107.8,3.7
245,-0.892,-0.405,-0.357,589.6,178.5,-164.1
265,0.09,-0.485,-0.017,687.4,375.9,-124.6
285,-0.177,-0.044,-0.26,796.8,445.9,-103.1
305,-0.098,0.118,-0.15,787.9,459.8,-115.9
325,-0.695,-1.703,-3.371,1162.6,699.7,-1057.6
347,1.866,-1.93,-2.179,607.6,-313.9,-633.0
367,0.126,-0.594,-0.694,537.5,-717.1,-0.1
389,-0.939,-0.476,0.103,-372.3,105.9,552.3
410,-0.051,0.408,-0.624,-764.2,733.8,944.8
433,-4.046,4.363,-5.541,-909.7,718.4,864.9
453,0.395,1.519,-0.704,-937.9,412.5,535.5
473,-0.985,1.726,0.244,-1079.8,-178.6,1105.7
493,0.355,0.351,0.22,-618.4,-245.1,553.8
513,-0.117,0.177,0.046,-687.0,-305.2,659.7
533,-0.161,0.137,-0.074,-700.2,-283.5,654.2
554,-0.157,0.141,-0.078,-708.2,-269.1,651.4
574,-0.153,0.145,-0.082,-718.8,-248.6,647.3
594,-0.098,5.792,-7.361,-427.1,-346.8,599.4
614,0.348,0.009,-0.028,-394.5,66.2,914.3
634,1.275,-1.03,-0.395,-322.4,338.2,830.0
655,0.669,-0.079,-1.052,895.6,837.6,1281.4
676,-0.849,-0.404,0.574,225.4,305.1,276.9
698,-0.513,-0.449,0.492,-212.0,393.2,-75.7
718,-0.218,-0.187,0.16,-379.1,331.1,-307.5
738,-0.242,-1.483,-0.956,-224.2,160.8,-382.0
758,0.672,-0.587,-0.267,24.0,359.5,-459.3
782,-0.044,0.002,0.029,110.0,466.4,-459.2
802,3.78,1.759,4.609,-355.6,606.4,233.3
822,0.546,0.287,0.187,-540.8,635.8,755.2
844,-5.361,-9.999,-0.646,63.8,212.2,-169.0
868,-0.22,-1.624,-1.23,-57.5,225.2,-320.8
888,0.719,-1.422,-0.335,-92.1,112.4,-370.3
912,0.561,-0.796,0.02,-57.1,83.5,-207.4
933,0.413,-0.595,0.052,-1.3,137.6,-61.0
953,0.204,-0.797,0.854,81.3,258.3,117.4
973,-0.225,-0.55,1.189,-65.9,430.9,-124.3
994,-0.276,-0.814,1.246,-79.1,431.2,-117.1
1015,-0.648,-0.302,1.801,-56.7,350.3,-143.0
1035,-0.808,0.045,1.02,-418.8,82.2,-212.1
1055,-0.732,-0.646,0.998,-550.3,-36.1,-332.0
1075,-0.381,-0.987,0.993,-660.5,-214.6,-223.2
1096,-0.317,-0.736,0.468,-871.4,-291.8,-206.6
1116,-0.435,-0.657,-0.419,-556.8,-262.5,-455.4
1137,-0.156,-0.817,-0.682,-552.5,-188.6,-737.9
1157,0.148,-0.522,-0.328,-401.7,-147.0,-815.1
1177,0.022,0.167,-0.017,-354.3,-159.5,-805.3
1197,0.016,0.171,-0.02,-340.3,-172.2,-808.0
1218,-1.721,10.528,-7.057,-659.5,-1365.6,-2293.4
1238,0.123,1.503,-1.109,-1177.1,-1280.2,-2043.2
1259,0.07,1.505,-1.114,-1021.1,-1347.9,-2076.8
1283,0.004,1.499,-1.135,-781.3,-1437.1,-2130.6
1303,-0.05,1.488,-1.162,-578.4,-1522.2,-2128.4
1325,0.013,1.375,-1.556,-329.9,-1586.5,-2117.0
1345,1.044,0.265,-0.578,252.0,-1464.6,-714.3
1365,-0.046,0.303,-0.694,300.0,-1465.4,-685.1
1385,-0.04,0.296,-0.697,340.0,-1466.0,-653.6
1405,-0.165,0.339,-0.704,367.8,-1492.1,-396.3
1425,-4.232,-0.926,0.878,-774.5,-614.9,27.1
1445,-0.108,0.122,-0.182,-779.3,-600.3,10.4
1468,-0.106,0.127,-0.184,-787.5,-589.7,-3.7
1488,-0.927,-0.617,0.65,-540.8,-429.7,697.9
1510,-1.953,0.474,1.245,-343.7,112.5,387.8
1533,-0.35,0.101,0.05,-375.2,276.2,88.9
1553,-1.278,0.111,0.182,-305.2,-0.7,-203.2
1576,-1.229,-0.034,0.355,0.4,-78.1,3.9
1596,-0.768,0.113,0.284,3.6,-7.2,21.4
1616,-1.064,0.073,0.179,0.4,19.8,-6.3
1636,-1.055,0.065,0.174,1.1,-15.1,3.0
1656,-0.98,0.061,0.239,0.7,0.0,0.0
1676,-1.022,0.075,0.204,0.9,2.4,1.7
1696,-1.016,0.068,0.218,0.8,-4.8,0.1
1716,-1.005,0.07,0.219,0.9,-1.1,0.3
1739,-1.016,0.07,0.21,0.8,-3.2,0.2
1760,-1.01,0.07,0.216,0.8,-2.1,0.0
1780,-1.015,0.07,0.215,0.7,-2.8,0.0
1800,-1.011,0.07,0.217,0.8,-2.6,0.1
1820,-1.012,0.072,0.214,1.1,-2.6,0.0
1840,-1.014,0.07,0.219,0.7,-1.8,0.1
1862,-1.014,0.072,0.21,0.9,-2.8,0.2
1882,-1.01,0.068,0.214,0.8,-3.2,0.2
1902,-1.008,0.073,0.216,0.9,-1.6,0.0
1925,-1.014,0.07,0.21,0.9,-3.6,0.0
1945,-1.009,0.071,0.217,0.7,-1.8,0.1
1968,-1.015,0.069,0.215,0.8,-2.6,0.0
1988,-1.013,0.071,0.216,0.7,-2.5,0.0
2010,-1.015,0.07,0.212,0.8,-2.3,0.2
2030,-1.013,0.07,0.214,0.8,-2.8,0.1
2050,-1.012,0.071,0.213,0.9,-2.6,0.2
2070,-1.011,0.07,0.213,0.9,-2.5,0.0
2092,-1.014,0.07,0.214,0.8,-2.7,0.1
