time_ms,ax,ay,az,wx,wy,wz
0,-0.537,0.033,0.747,38.3,30.1,82.1
20,-0.633,0.159,1.05,-24.6,-3.8,-249.0
40,1.671,-4.91,0.613,-91.9,-71.4,216.8
60,-0.691,-0.072,1.87,-84.7,-114.3,73.0
83,-0.142,-0.509,1.609,-161.0,-157.4,81.3
103,-0.382,-0.659,1.582,29.3,-233.3,-75.5
123,-0.234,-0.701,1.629,122.1,-277.2,-144.6
145,-0.543,-0.706,1.414,177.3,-296.4,-296.1
165,-0.444,-0.557,1.079,86.7,-267.9,-326.9
185,-0.468,-0.195,0.632,160.3,-233.5,-384.7
206,-0.264,-0.086,0.714,183.8,-270.2,-390.1
226,-0.219,0.112,0.443,239.1,-215.2,-295.4
246,-0.21,0.271,-0.012,329.8,-184.0,-159.3
270,0.011,0.051,-0.052,477.6,-221.8,-65.2
290,0.008,2.826,-1.036,82.3,-341.3,44.5
310,0.581,0.999,-0.305,-97.2,-126.1,-20.9
331,0.801,1.242,-0.452,-437.0,118.0,-158.4
351,0.194,0.434,0.133,-317.6,-423.3,652.4
371,0.311,1.407,1.774,62.6,-69.1,288.6
391,2.506,0.112,-1.097,-227.9,-85.5,-170.5
412,1.015,1.256,-0.108,-153.5,-46.2,-81.2
432,0.885,0.785,-0.329,-133.0,79.0,54.0
452,1.014,0.769,-0.128,-147.8,191.4,49.0
476,1.108,0.802,0.02,-125.4,197.7,52.0
496,1.292,1.042,0.001,-88.1,264.6,139.7
516,1.211,1.088,0.041,-135.7,374.7,247.8
538,0.957,0.912,0.132,-189.4,477.6,295.2
559,0.508,0.641,0.19,-323.6,628.9,286.4
580,0.121,0.244,0.08,-506.5,774.2,278.7
600,0.035,0.13,-0.315,-634.0,925.4,277.6
621,0.005,0.128,-0.32,-622.8,927.1,296.7
642,-0.249,-0.004,-0.065,-614.4,1460.7,498.7
662,0.092,0.783,-1.758,-1422.9,2068.0,977.1
682,0.014,0.928,-1.89,-1305.9,2079.8,1109.6
702,-0.04,0.967,-1.874,-1156.9,2094.4,1222.8
722,-0.082,1.012,-1.85,-1009.4,2106.3,1328.1
742,-0.13,1.051,-1.821,-827.1,2114.9,1425.2
762,-11.13,0.589,-0.735,-292.8,1427.5,1036.4
783,-0.087,0.51,-0.761,-219.5,1424.4,1065.6
803,-0.095,0.522,-0.751,-113.6,1414.4,1090.8
823,-0.093,0.535,-0.744,-27.3,1404.6,1111.3
843,-0.092,0.546,-0.736,66.6,1392.8,1127.2
867,-1.671,0.467,-3.21,463.8,855.2,844.2
887,1.453,0.965,-1.098,662.6,848.1,1046.7
907,0.96,-0.6,-1.375,625.9,901.6,894.3
927,0.831,-0.611,0.763,508.9,666.7,808.0
947,0.275,-0.126,0.311,236.9,410.4,725.9
967,-0.005,0.176,-0.023,162.3,364.3,767.4
987,0.102,0.11,0.116,65.9,392.3,940.5
1007,-0.438,-1.536,1.606,-176.3,331.3,736.4
1028,-0.849,-0.641,0.679,-487.1,437.0,501.9
1048,-3.669,-3.742,-2.471,-364.9,293.2,453.3
1070,-0.483,-0.227,-0.288,-343.9,279.5,454.4
1090,-0.359,-0.147,-0.344,-339.6,231.3,537.5
1112,-0.49,0.019,-0.373,-402.2,224.2,656.9
1132,-0.158,0.173,-0.309,-172.8,132.8,270.9
1153,-1.219,0.737,-0.748,-187.8,92.1,248.2
1173,-0.494,0.451,-0.712,-77.7,82.7,121.1
1195,-0.65,0.443,-0.63,-8.9,89.0,42.3
1215,-0.622,0.411,-0.609,79.8,103.6,-35.5
1235,-0.593,0.37,-0.616,171.7,129.5,-106.0
1257,-0.527,0.252,-0.628,324.2,188.3,-203.0
1277,-1.041,-0.343,-1.364,232.8,405.1,-146.3
1298,-0.165,-0.093,-0.497,129.5,478.5,-115.2
1318,-0.391,-0.444,-0.485,-38.4,631.0,-138.4
1338,-0.09,-0.405,-1.623,-690.0,167.2,26.9
1358,-0.029,-0.02,-0.284,-134.8,-222.3,266.3
1378,0.062,0.049,-0.644,306.0,27.5,332.2
1398,0.123,-0.131,-0.579,3.0,-47.0,-0.4
1418,-0.046,-0.019,-1.007,-48.3,-44.7,-0.9
1438,-0.01,0.003,-0.983,24.9,13.9,0.9
1458,0.012,-0.025,-0.956,-6.9,-10.2,-0.2
1478,-0.004,-0.005,-0.965,4.2,0.4,0.3
1501,-0.004,-0.009,-0.965,-0.7,-3.2,0.1
