time_ms,ax,ay,az,wx,wy,wz
0,-0.057,0.524,1.895,106.0,-334.8,-125.2
20,0.323,0.08,1.04,91.2,-205.3,-48.5
40,-0.162,-0.154,1.191,76.8,-121.5,-146.1
60,0.124,0.434,1.195,93.0,24.9,-222.1
82,0.225,0.297,1.508,161.0,136.5,-301.1
102,0.406,0.048,1.514,176.3,256.2,-367.8
122,0.659,0.007,1.07,260.3,136.7,-218.6
143,0.357,-0.167,0.879,310.1,79.4,-174.6
163,0.452,-0.053,0.7,390.3,65.2,-129.7
185,0.541,-0.187,0.696,379.9,-43.0,-151.5
205,0.371,-0.484,0.097,304.4,-35.0,-230.2
225,0.051,-0.366,-0.142,279.6,50.8,-231.2
245,-0.748,-0.121,-0.432,297.9,356.6,-317.4
265,-1.579,0.72,-0.81,259.5,136.8,-144.1
287,-1.901,1.303,-0.72,85.3,-23.1,292.7
307,-1.203,1.962,-0.35,132.7,-199.7,1029.9
327,-0.461,1.918,-1.037,347.9,-62.5,867.7
350,0.866,1.679,-0.589,406.3,57.4,306.6
371,0.668,1.096,-0.101,-1.8,227.5,136.7
391,0.237,0.553,0.099,-115.7,324.4,21.0
411,0.317,0.676,0.781,-324.8,325.0,307.0
431,-0.021,0.065,-0.037,-347.5,334.9,317.5
451,-0.024,0.065,-0.04,-341.3,336.7,322.3
471,-0.023,0.063,-0.034,-333.9,338.2,326.7
491,-0.023,0.065,-0.035,-323.6,340.4,332.6
511,-0.021,0.064,-0.033,-317.8,342.2,338.1
531,-0.02,0.061,-0.031,-308.7,343.9,342.0
551,5.159,0.348,2.978,1129.9,-126.9,-427.7
571,0.636,1.206,1.086,843.9,448.9,-254.5
591,-1.474,1.239,0.887,401.5,0.6,101.0
611,-0.504,0.603,1.059,-124.6,-152.6,66.8
631,-0.253,0.001,0.22,-337.1,-234.5,46.0
654,-0.03,0.029,0.005,-349.5,-235.4,43.1
674,-0.03,0.03,0.003,-351.9,-232.7,40.3
694,-0.03,0.028,0.001,-353.5,-231.0,38.0
714,4.393,3.823,-1.111,184.2,-344.1,829.1
734,2.649,-0.253,-0.083,295.3,466.2,526.9
754,1.366,0.635,1.918,39.5,1167.3,305.9
775,0.396,0.323,0.498,-303.7,1617.7,-24.8
796,-0.856,-0.014,0.741,-431.9,806.1,-234.6
816,-0.406,-0.175,-0.003,-479.0,1020.2,-514.5
838,-0.802,-0.272,-0.364,-201.1,468.0,-178.3
858,-0.038,-0.024,-0.004,-224.5,465.4,-148.7
878,0.0,0.0,-0.007,-229.2,463.7,-145.6
898,0.001,0.0,-0.004,-234.3,461.0,-142.0
920,2.446,-2.724,3.01,-175.8,882.5,504.7
940,-0.498,-0.206,0.178,-315.7,831.0,991.3
961,-2.566,1.847,-0.685,-468.3,552.5,1732.5
981,-2.585,2.596,-3.29,-927.2,1008.3,1933.2
1003,0.495,0.414,-0.712,-209.0,-153.0,905.3
1023,-0.087,-1.072,-1.784,65.0,-553.4,718.6
1043,0.279,-0.212,-0.807,-130.2,-673.5,594.0
1063,-0.065,0.005,-0.082,-383.6,-640.4,522.9
1083,-0.117,0.028,-0.038,-406.5,-631.3,514.7
1106,-0.12,0.036,-0.04,-429.0,-621.9,507.3
1126,-0.123,0.039,-0.044,-456.1,-609.8,498.8
1146,-0.121,0.046,-0.087,-479.4,-598.0,475.6
1166,7.038,2.927,-1.784,436.5,-513.4,433.5
1186,0.108,0.202,-0.456,-16.5,-717.5,34.7
1206,-0.172,0.119,-0.694,-151.8,-621.8,-60.5
1226,-0.582,0.308,-0.388,407.5,-626.2,-69.0
1250,-0.129,0.287,0.02,76.0,-231.4,606.6
1270,0.033,0.683,-0.08,80.2,-59.5,893.8
1290,-0.079,0.247,-0.432,-20.0,-178.2,728.0
1310,0.211,-0.06,-0.464,322.4,-338.9,905.0
1330,0.141,-2.255,-3.235,143.0,-278.7,536.3
1350,-0.485,-0.88,-0.585,-110.3,-180.1,401.1
1370,-0.269,0.131,-0.507,-344.4,-91.0,476.2
1390,-1.396,0.814,-1.685,-561.7,149.8,356.0
1410,0.108,0.25,-0.291,-485.8,409.1,521.3
1430,1.813,3.792,-1.492,-1142.3,916.0,1012.6
1450,1.193,1.53,1.131,177.0,118.3,-230.7
1470,0.937,0.601,0.314,215.4,-287.4,85.4
1491,0.161,0.273,-0.052,78.4,-325.2,244.7
1511,-0.046,0.059,0.0,76.3,-354.7,219.8
1532,-0.528,0.235,-0.634,181.7,-508.9,11.2
1552,-0.517,0.012,-2.127,647.4,-625.6,-420.1
1574,-1.551,0.637,-2.153,299.5,-498.6,-553.7
1595,-0.349,0.019,-0.5,-129.0,-254.8,-394.7
1617,0.074,0.37,-0.139,-604.8,-70.4,-35.2
1637,0.079,1.712,-2.677,-291.9,361.3,817.5
1657,0.851,1.244,-0.933,274.6,850.7,1526.9
1677,2.218,0.188,-1.776,110.3,1098.4,356.9
1700,0.684,-0.315,0.771,125.9,206.7,116.9
1720,-0.008,0.009,0.034,58.6,66.9,98.6
1740,-0.017,0.009,0.034,58.9,66.8,98.3
1760,-0.014,0.01,0.034,59.2,66.5,98.1
1780,0.061,1.54,-9.995,-234.5,262.0,-183.6
1802,1.294,0.387,-0.648,-140.4,332.2,32.8
1822,1.395,0.892,-0.751,-167.8,627.1,324.5
