time_ms,ax,ay,az,wx,wy,wz
0,0.266,0.595,-0.958,28.8,47.8,487.2
20,0.859,-0.039,-1.732,359.7,152.3,370.6
40,-0.19,0.427,-1.956,229.1,186.7,289.9
60,-0.283,-0.058,-2.079,71.1,-158.3,247.2
80,0.35,-0.395,-1.551,-27.0,-309.1,327.0
100,0.792,-0.419,-1.275,-97.7,-272.5,319.7
120,0.822,-0.283,-1.224,-41.8,-229.6,97.3
140,0.633,-0.217,-1.149,17.1,-211.0,48.0
160,0.643,-0.013,-0.839,-22.6,-353.9,131.4
180,0.558,0.081,-0.565,-56.5,-374.9,85.3
200,0.232,0.143,-0.625,-72.4,-297.9,77.1
220,0.03,0.208,-0.654,-106.4,-250.2,79.9
240,0.013,0.02,-0.295,-116.9,-69.8,72.2
260,-0.028,-0.007,0.033,-129.8,-26.4,62.0
280,-0.024,0.006,0.031,-129.8,-26.1,61.4
300,-0.027,0.006,0.034,-129.8,-25.6,61.3
320,-0.027,0.007,0.033,-129.7,-24.8,110.6
344,-2.149,1.03,-0.261,259.9,845.8,1512.9
364,-0.814,1.18,-0.38,660.7,-63.9,780.2
384,-0.217,0.854,-0.763,483.7,177.7,562.4
407,-0.375,0.772,-0.947,166.4,231.3,175.6
431,-0.896,1.022,-1.184,131.2,223.4,161.0
452,-1.036,1.023,-1.188,81.5,222.7,119.9
472,-0.947,0.952,-1.412,137.6,168.9,74.1
492,-0.539,0.994,-1.037,167.5,118.6,3.7
513,-0.302,0.793,-1.178,244.3,129.7,-56.6
536,-0.19,0.466,-0.923,395.5,137.2,-79.9
556,0.024,0.201,-0.62,493.4,153.7,-42.2
580,0.238,-0.088,-0.26,678.3,233.5,68.1
600,-0.026,0.094,-0.089,706.0,234.5,84.1
620,-0.022,0.091,-0.085,704.7,236.3,79.1
640,8.85,-7.58,6.184,1183.2,842.6,958.3
660,0.029,0.663,-0.674,1349.4,850.5,929.4
680,0.028,0.659,-0.678,1401.7,828.3,880.0
702,0.023,0.653,-0.687,1436.1,811.6,841.6
723,-1.384,2.44,-0.088,1698.4,894.0,945.5
746,0.158,0.791,-0.432,1070.5,624.9,1496.8
766,0.172,0.781,-0.457,1143.5,570.1,1460.4
786,0.193,0.766,-0.462,1203.2,521.5,1429.3
806,0.407,-0.039,-0.488,749.5,203.9,1141.9
826,0.111,0.367,-0.118,772.3,171.0,1129.1
846,0.116,0.358,-0.117,793.8,135.0,1115.9
868,0.123,0.352,-0.113,814.9,110.1,1104.4
888,-9.002,-7.971,2.387,252.7,331.0,747.6
908,-0.002,0.166,-0.044,304.2,314.5,769.0
928,-0.003,0.169,-0.045,317.9,304.3,765.3
949,-0.004,0.172,-0.045,339.9,296.1,761.8
969,-3.714,1.97,-0.143,-114.3,329.1,-108.2
989,-0.576,0.039,-0.442,-223.2,288.4,43.1
1009,-0.673,0.081,-0.493,-59.1,147.4,-8.6
1029,-0.874,0.116,-0.546,0.7,-9.9,-35.7
1050,-0.874,-0.091,-0.491,13.3,-170.8,-14.7
1071,-0.877,0.001,-0.437,-1.4,-373.8,18.8
1091,-0.852,0.002,-0.34,8.6,-637.4,1.3
1112,-0.174,-0.013,0.203,0.9,-203.9,-10.9
1132,-0.51,0.024,0.283,-29.4,177.5,6.7
1152,-1.454,-0.007,0.472,-21.2,218.2,10.2
1172,-0.828,0.056,-0.299,-1.0,-12.4,2.1
1192,-1.173,-0.021,0.276,1.3,-71.8,-4.8
1212,-1.072,-0.007,-0.046,0.1,45.7,6.4
1232,-1.032,0.0,0.03,0.9,-16.0,-1.7
1252,-1.05,0.006,-0.02,0.6,-1.7,-1.1
1272,-1.033,-0.001,0.006,0.7,-1.6,0.4
1296,-1.033,-0.005,0.002,0.7,-2.5,0.1
1316,-1.034,-0.003,0.007,0.7,-2.8,0.0
1337,-1.031,-0.004,0.006,0.7,-2.6,0.2
1358,-1.029,-0.005,0.006,0.7,-2.5,0.2
1378,-1.029,-0.006,0.008,0.7,-2.6,0.2
1398,-1.032,-0.007,0.006,0.7,-2.5,0.2
1418,-1.029,-0.005,0.009,0.6,-2.6,0.1
1438,-1.033,-0.006,0.008,0.7,-2.6,0.2
1461,-1.033,-0.006,0.008,0.7,-2.5,0.2
1483,-1.029,-0.006,0.006,0.7,-2.5,0.3
1503,-1.034,-0.007,0.009,0.7,-2.7,0.1
1526,-1.03,-0.004,0.005,0.7,-2.5,0.2
1546,-1.033,-0.005,0.007,0.7,-2.5,0.2
1567,-1.03,-0.007,0.008,0.7,-2.6,0.1
1587,-1.031,-0.006,0.007,0.7,-2.5,0.1
1607,-1.031,-0.005,0.007,0.8,-2.6,0.0
1627,-1.03,-0.006,0.007,0.7,-2.5,0.2
1647,-1.031,-0.005,0.008,0.7,-2.6,0.2
1670,-1.029,-0.006,0.007,0.8,-2.6,0.2
