time_ms,ax,ay,az,wx,wy,wz
0,-1.024,0.356,-1.067,13.8,92.6,-121.1
21,-0.166,0.336,-1.083,72.8,79.9,-117.0
41,0.25,0.192,0.075,65.1,-46.3,36.6
61,-0.642,0.035,-1.239,14.4,133.5,15.2
81,-0.15,0.025,-1.083,64.0,166.3,-71.6
101,0.231,0.008,-1.301,176.4,124.7,-14.7
121,0.187,-0.125,-1.689,154.0,3.8,138.6
144,0.222,0.053,-1.552,191.3,-130.4,270.1
164,0.405,0.04,-1.615,260.3,-138.9,251.3
184,0.405,0.253,-1.515,264.3,-120.7,278.8
204,0.275,0.285,-1.251,279.2,-110.8,257.3
224,0.215,0.211,-1.167,313.8,-57.5,138.7
244,0.167,-0.063,-1.14,357.7,-8.1,68.2
264,0.202,0.104,-0.978,494.6,-27.1,27.2
284,-0.021,0.328,-0.733,502.8,34.5,-237.7
306,-0.371,-0.012,-0.63,428.3,28.4,-323.4
326,-0.324,-0.153,-0.339,284.9,14.7,-91.9
346,-0.081,0.016,-0.055,152.4,173.6,-128.3
366,-0.09,-0.055,-0.11,125.0,182.3,-109.4
386,-0.366,-1.381,0.857,361.2,428.3,252.9
409,-0.831,-0.97,1.195,81.2,417.7,234.2
429,-0.769,-1.053,1.106,-148.5,385.0,77.5
449,-0.749,-1.123,0.902,-246.8,326.6,63.0
471,-0.799,-1.161,0.731,-334.6,292.8,-8.1
491,-0.648,-0.91,0.815,-514.3,278.2,-121.3
511,-0.76,-1.263,0.267,-625.6,330.4,-347.6
531,-0.888,-1.422,-0.412,-460.2,274.6,-625.3
551,-0.279,-2.274,-0.95,-213.7,62.7,-657.2
571,0.089,-1.571,0.35,-130.8,-113.8,-333.0
591,0.28,-1.332,-0.272,-170.4,-136.7,-195.0
611,-0.055,-0.917,-0.237,-209.6,-178.2,-147.3
633,0.34,-0.712,-0.607,-317.0,-207.9,-109.4
653,-0.014,0.071,-0.283,-574.8,-455.8,-107.8
673,-0.044,0.102,-0.116,-616.0,-465.2,-148.2
693,-0.043,0.103,-0.118,-614.0,-462.7,-158.1
713,-0.047,0.109,-0.116,-611.9,-460.3,-166.3
733,-0.829,1.464,-1.069,-1584.1,551.2,1693.0
753,-0.657,1.451,-1.044,-1534.9,671.5,1925.6
773,-0.586,1.342,-0.184,-365.9,281.4,535.7
793,-0.049,0.109,-0.05,-335.5,317.8,563.3
814,-0.047,0.108,-0.051,-327.3,324.3,562.5
834,-0.047,0.106,-0.05,-310.4,327.4,570.7
854,0.225,-0.025,2.022,-911.1,497.6,1403.5
874,-4.859,-3.784,2.35,-1950.8,621.1,408.5
896,0.002,0.074,-0.042,-598.2,-34.0,-143.0
916,0.0,0.069,-0.044,-597.7,-34.1,-143.9
937,-2.129,-4.285,-2.321,-621.5,290.9,-519.1
957,-0.164,0.085,-0.21,-749.2,-314.8,154.0
977,-0.072,0.131,-0.241,-978.1,-84.4,62.4
998,-0.414,-1.493,-7.103,-562.5,800.5,-48.3
1019,-0.033,0.021,0.013,88.6,156.1,-374.3
1039,0.022,0.076,-0.461,333.2,-231.9,-415.3
1061,0.573,0.687,-2.033,-124.5,61.8,-224.8
1081,-0.233,0.224,-1.06,113.4,-33.0,-189.4
1101,-0.081,-0.068,-0.92,10.2,20.8,0.1
1123,0.021,0.032,-0.989,-8.3,-2.1,1.1
1143,0.008,-0.025,-0.947,1.0,-0.7,0.0
1163,0.016,-0.004,-0.965,2.8,-3.8,0.2
1184,0.014,-0.002,-0.961,1.6,-3.0,0.1
1204,0.009,-0.009,-0.964,1.0,-2.7,0.1
1224,0.01,-0.006,-0.961,0.8,-2.5,0.1
1244,0.011,-0.006,-0.957,0.8,-2.6,0.1
1265,0.014,-0.006,-0.961,0.7,-2.7,0.1
1285,0.009,-0.005,-0.961,0.7,-2.6,0.2
1305,0.005,-0.006,-0.961,0.7,-2.6,0.0
1325,0.011,-0.009,-0.961,0.7,-2.4,0.2
1345,0.012,-0.007,-0.964,0.7,-2.6,0.1
1368,0.014,-0.006,-0.961,0.7,-2.6,0.3
1389,0.009,-0.007,-0.96,0.7,-2.5,0.2
1409,0.009,-0.009,-0.962,0.8,-2.6,0.1
1431,0.008,-0.008,-0.962,0.7,-2.5,0.1
1451,0.012,-0.005,-0.961,0.6,-2.6,0.2
1473,0.012,-0.007,-0.961,0.7,-2.5,0.2
1493,0.009,-0.006,-0.963,0.6,-2.6,0.1
1513,0.01,-0.007,-0.963,0.7,-2.5,0.1
1534,0.01,-0.005,-0.961,0.7,-2.5,0.0
