time_ms,ax,ay,az,wx,wy,wz
0,-0.076,-0.233,-0.795,-3.1,-33.0,-160.0
20,-0.572,-0.37,-1.289,-173.4,-142.0,-222.3
40,-0.691,-0.293,-1.522,-124.1,-203.7,-198.2
60,-0.503,0.092,-1.654,-114.9,-148.1,-111.5
80,-0.346,0.124,-1.582,-192.6,-18.8,-27.3
103,-0.484,-0.412,-1.694,-243.6,74.2,180.3
123,-0.41,-0.685,-1.437,-216.3,171.3,238.4
146,-0.285,-0.447,-1.142,-267.8,236.6,234.7
166,-0.238,-0.345,-0.798,-384.9,229.9,73.0
186,-0.036,-0.018,-0.773,-545.7,82.3,-125.6
206,0.598,0.665,-0.479,-853.4,289.3,89.6
226,0.004,0.158,-0.202,-883.8,378.3,168.4
248,-0.017,0.264,-0.235,-906.2,313.0,-61.8
268,0.053,0.673,-0.083,-986.7,296.6,-182.8
288,0.502,0.316,0.222,-645.0,-106.4,-371.2
308,0.223,0.291,0.245,-646.8,-190.4,-285.8
328,0.574,0.647,0.616,-725.2,-219.3,-134.0
349,1.93,-2.382,2.301,-253.1,-155.9,-450.3
369,0.536,-0.566,0.374,139.7,-121.8,-472.3
389,0.948,-0.206,1.159,182.3,-100.9,-434.8
409,0.839,-0.698,1.206,234.6,-70.5,-307.9
429,0.615,-0.761,1.209,335.9,-62.4,-279.5
449,0.633,-0.439,1.393,448.0,19.4,-269.4
470,0.463,0.337,1.902,386.6,111.6,-269.5
490,0.62,0.589,1.441,228.1,70.8,-182.5
510,0.73,0.555,1.095,131.5,143.2,-48.0
530,0.502,0.265,1.16,56.4,266.3,38.6
550,0.122,0.185,1.074,173.1,308.7,-19.2
570,0.232,0.303,0.847,185.1,339.0,0.7
590,0.342,0.382,0.394,249.4,335.7,48.0
610,0.037,0.156,-0.081,416.2,223.4,27.7
630,-0.04,0.06,-0.033,489.0,192.2,-7.1
650,-0.044,0.06,-0.038,487.9,195.3,-11.5
670,-0.044,0.059,-0.045,488.2,199.4,-15.7
692,-0.144,0.414,-0.675,1169.4,1270.2,498.4
713,-0.181,0.439,-0.764,1187.4,1269.5,444.3
733,-0.192,0.421,-0.754,1193.0,1275.5,379.8
753,-0.207,0.404,-0.746,1196.7,1284.3,332.3
776,8.59,-6.621,8.277,786.6,980.6,469.7
796,-0.115,0.258,-0.447,804.9,1060.2,402.9
816,-0.118,0.253,-0.443,814.4,1061.7,379.8
836,-0.164,0.288,-0.178,811.2,1056.1,338.1
856,-1.47,1.796,1.114,611.5,772.0,115.9
876,-0.678,0.361,0.275,-199.0,573.7,-4.1
897,-0.185,0.144,0.099,-217.9,549.9,-6.3
918,-0.48,0.386,0.305,-229.9,591.2,-80.1
938,-0.792,0.493,0.25,-177.6,738.9,-222.8
958,-0.882,0.191,-0.127,-79.9,777.9,-555.7
978,-0.877,0.386,-2.635,60.1,-109.0,-173.6
998,-0.037,-0.004,0.015,9.0,-86.1,-201.2
1018,-2.408,-2.13,-1.546,99.6,-151.8,-218.1
1038,-0.479,-0.683,-0.436,144.2,-309.0,-38.1
1058,-1.117,-0.692,0.453,95.9,-158.4,208.8
1078,-0.41,-0.31,0.343,30.2,-17.0,335.0
1098,-1.079,0.25,0.494,5.3,259.2,159.3
1118,-1.833,0.07,-0.346,23.1,110.6,-26.4
1138,-0.948,-0.152,-0.287,20.5,-91.4,-46.0
1159,-1.081,-0.172,0.041,0.6,-124.3,-16.1
1179,-0.845,-0.197,0.113,-0.2,49.4,1.1
1199,-1.034,-0.162,-0.081,-0.7,41.2,34.7
1219,-1.102,-0.088,-0.042,1.4,-16.8,-13.7
1241,-0.979,-0.169,0.008,1.1,-8.3,-2.1
1261,-1.032,-0.126,-0.026,0.5,1.4,5.5
1281,-1.02,-0.143,-0.011,0.8,-3.7,-0.6
1302,-1.018,-0.132,-0.022,0.7,-1.6,1.8
1322,-1.017,-0.137,-0.018,0.7,-2.5,0.2
1342,-1.022,-0.133,-0.021,0.7,-2.4,0.4
1362,-1.018,-0.134,-0.015,0.7,-2.5,0.4
1382,-1.022,-0.135,-0.02,0.7,-2.8,0.2
1402,-1.019,-0.134,-0.017,0.8,-2.7,0.4
1423,-1.02,-0.133,-0.019,0.7,-2.5,0.4
1443,-1.018,-0.134,-0.02,0.8,-2.7,0.5
1463,-1.02,-0.135,-0.017,0.7,-2.5,0.3
1485,-1.017,-0.136,-0.02,0.7,-2.5,0.4
1505,-1.019,-0.132,-0.018,0.7,-2.5,0.4
1525,-1.019,-0.135,-0.016,0.7,-2.5,0.4
1547,-1.022,-0.134,-0.018,0.8,-2.7,0.3
1567,-1.021,-0.137,-0.019,0.7,-2.7,0.4
1589,-1.02,-0.134,-0.016,0.7,-2.5,0.4
1609,-1.019,-0.134,-0.019,0.8,-2.8,0.5
1629,-1.023,-0.132,-0.02,0.7,-2.5,-0.2
1652,-1.016,-0.138,-0.016,0.7,-2.5,1.4
