time_ms,ax,ay,az,wx,wy,wz
0,1.192,-0.758,0.392,12.8,63.9,-3.5
20,1.058,-0.63,0.404,7.8,94.9,1.1
40,0.818,-0.535,0.403,-12.3,101.4,-6.9
60,0.64,-0.622,0.396,-31.9,104.7,-3.0
80,0.655,-0.693,0.433,-31.5,115.5,9.7
102,0.716,-0.735,0.42,-31.5,141.4,63.9
122,0.782,-0.658,0.361,-36.3,165.6,124.5
145,0.593,-0.483,0.287,-34.8,174.4,185.8
169,0.189,-0.464,0.28,-24.9,169.8,155.1
189,0.206,-0.763,0.452,127.8,226.5,-65.5
209,0.444,-0.35,0.449,131.9,399.4,-178.9
231,0.354,0.143,0.294,-52.1,546.2,-105.2
251,0.179,-0.028,0.158,-121.5,440.3,10.0
271,0.249,-0.172,0.123,-202.5,251.6,314.6
292,-0.079,0.096,-0.023,-233.1,233.3,483.7
313,-0.051,0.074,-0.009,-234.7,236.6,517.3
333,-2.622,0.228,0.203,-320.2,-228.4,-231.0
355,-1.78,-1.021,-0.321,-132.8,-520.1,-671.4
375,0.791,-1.932,1.686,376.3,115.9,286.9
396,-1.082,-1.011,2.498,87.8,-46.0,31.7
416,0.158,-1.167,1.464,6.0,155.3,105.6
439,0.091,-1.068,1.087,153.0,168.3,125.0
461,0.246,-0.449,0.705,302.6,128.1,63.1
481,0.068,-0.108,0.124,404.8,53.3,-72.2
501,-0.024,0.028,0.01,364.8,30.5,-59.2
522,-0.203,-0.069,-0.369,392.6,101.4,-173.3
542,-1.197,0.554,-0.06,300.0,609.2,-536.1
563,-2.122,-0.795,-0.175,-228.9,292.5,-344.1
583,-1.459,-1.206,0.02,168.9,-425.4,-295.7
603,-1.024,-0.815,0.002,675.1,-900.4,-293.2
624,1.807,-1.482,2.001,1597.1,-348.6,-141.2
644,0.509,1.057,0.686,742.7,242.3,-236.3
664,-0.045,1.03,0.6,908.6,372.6,-434.9
684,-0.659,0.713,0.195,897.9,349.3,-405.5
704,-0.696,1.185,0.012,743.2,407.1,-378.7
724,-0.565,0.278,0.173,443.9,188.5,-546.5
744,-0.09,0.076,0.001,408.6,146.7,-556.7
764,-4.857,-3.182,1.48,280.2,-246.1,-348.8
784,-0.266,-0.157,0.197,179.9,-254.8,64.1
804,-0.184,-0.126,0.22,335.7,-85.3,411.0
824,0.051,0.205,-0.042,452.6,113.5,829.7
848,-3.461,4.83,-0.339,79.2,-51.5,1053.5
868,-0.178,2.132,-1.142,231.6,222.2,882.6
888,-0.132,0.139,-0.303,428.1,-41.7,757.4
910,0.134,0.708,-0.556,459.5,-243.8,380.3
930,0.05,0.087,0.026,102.4,-246.4,90.0
954,0.013,0.034,0.036,93.9,-240.3,90.6
974,0.418,0.903,0.039,-127.6,-58.3,-49.7
995,-0.203,1.693,-0.082,498.3,107.3,70.2
1015,-0.011,1.447,-1.0,663.3,14.4,227.7
1035,0.325,0.638,-1.088,656.8,-169.4,138.5
1057,0.109,0.344,-1.004,898.6,-75.6,99.5
1077,0.486,-0.483,-0.824,584.5,-321.3,141.8
1097,0.235,0.157,-1.259,452.6,-344.1,21.9
1117,0.152,0.508,-1.445,294.4,-285.3,-47.0
1141,0.288,0.235,-1.017,207.8,-281.5,-103.6
1161,0.354,-0.041,-0.5,246.0,-258.9,-101.7
1183,-0.005,-0.005,0.001,271.3,-274.6,45.9
1204,-0.011,0.006,0.012,269.0,-274.7,48.4
1224,-0.011,0.003,-3.494,404.6,-827.3,-822.1
1244,-0.154,1.626,-2.089,2293.4,-1138.9,-1054.1
1264,-0.085,0.937,-1.215,2157.6,-472.1,-542.9
1284,-0.098,0.932,-1.198,2176.5,-412.6,-501.0
1305,-0.103,0.935,-1.202,2189.8,-367.0,-471.5
1325,-0.108,0.931,-1.2,2202.9,-309.4,-439.5
1345,1.381,3.747,-6.731,2293.4,-109.0,-123.4
1365,-0.661,-0.242,0.243,880.9,779.0,53.4
1385,-0.117,0.165,-0.268,871.3,735.6,66.3
1405,-0.119,0.112,-0.296,867.4,739.7,60.1
1425,-0.018,-0.266,-0.434,1018.7,737.5,288.1
1445,0.015,0.383,-0.137,286.2,482.5,1189.1
1465,-0.247,-5.203,4.982,125.2,279.7,611.3
1485,-0.023,0.11,-0.013,105.7,267.7,642.8
1505,-0.164,-0.021,0.108,110.8,282.0,673.6
1529,-0.076,0.093,0.044,82.8,350.8,687.8
1552,-0.385,0.273,-0.076,7.9,493.7,951.6
1572,-0.123,0.0,0.006,17.3,-295.6,422.7
1592,-0.769,0.406,0.039,283.4,88.1,227.7
1612,-1.02,1.027,0.215,288.0,39.7,76.8
1632,-0.867,0.742,-0.234,83.7,-51.1,31.4
1652,-0.862,0.643,-0.118,23.3,-16.0,-205.2
1672,-0.82,0.444,0.017,6.0,-20.3,-416.5
1693,-1.371,0.283,-0.086,10.9,-6.1,-606.0
1714,-0.42,-0.271,0.081,-6.8,-20.0,-115.9
1735,-0.618,-0.328,0.051,-12.6,29.4,211.1
1755,-1.94,0.399,-0.027,0.7,15.2,58.7
1777,-1.079,0.119,-0.048,2.4,-19.8,-102.4
1797,-0.793,-0.182,0.08,0.8,7.1,30.6
1820,-1.083,0.072,-0.061,0.8,-0.2,0.2
1841,-0.998,-0.042,0.028,0.6,-1.0,1.8
1861,-1.041,0.003,-0.013,0.8,-4.2,-0.9
1881,-1.033,-0.004,-0.009,0.7,-2.1,-0.1
1902,-1.028,-0.01,-0.005,0.7,-2.1,0.8
1926,-1.031,-0.011,-0.003,0.7,-2.5,0.5
1946,-1.03,-0.012,-0.006,0.8,-2.5,0.2
1968,-1.029,-0.01,-0.004,0.8,-2.5,0.4
1989,-1.032,-0.012,-0.005,0.7,-2.5,0.2
2009,-1.029,-0.01,-0.008,0.7,-2.5,0.2
2029,-1.03,-0.009,-0.008,0.7,-2.4,0.2
2053,-1.028,-0.009,-0.006,0.7,-2.5,0.2
2073,-1.031,-0.01,-0.005,0.8,-2.8,0.2
2093,-1.029,-0.008,-0.005,0.8,-2.4,0.5
2114,-1.033,-0.014,-0.006,0.7,-2.6,0.2
2135,-1.032,-0.01,-0.003,0.9,-2.6,0.4
2155,-1.032,-0.009,-0.008,0.7,-2.5,0.3
2175,-1.03,-0.009,-0.005,0.7,-2.6,0.2
2195,-1.033,-0.01,-0.008,0.8,-2.6,0.2
2215,-1.031,-0.008,-0.008,0.7,-2.5,0.2
2235,-1.031,-0.01,-0.005,0.7,-2.5,0.2
