time_ms,ax,ay,az,wx,wy,wz
0,-0.732,-0.916,-1.011,-86.8,95.4,59.7
20,1.243,6.828,-1.398,199.2,-88.1,-347.4
40,0.314,0.058,-1.496,157.6,192.6,-271.6
60,0.388,-0.056,-1.527,114.0,191.6,80.5
81,0.306,0.134,-1.369,193.4,248.1,193.7
101,0.242,-0.075,-1.41,265.4,251.2,365.1
122,0.365,0.047,-1.443,320.6,284.2,399.9
142,0.287,0.345,-1.274,255.1,291.9,305.0
162,0.181,0.299,-1.097,200.8,281.8,264.3
185,0.125,-0.019,-0.652,211.4,239.6,227.7
205,0.022,-0.307,-0.519,345.0,214.7,229.8
226,-0.01,-0.5,-0.369,406.5,184.1,165.7
246,0.029,-0.374,-0.168,418.1,223.0,-91.9
270,-0.183,-0.101,0.102,280.6,267.3,-400.2
291,-0.127,-0.044,0.148,130.2,155.7,-655.4
311,-0.052,0.046,0.05,149.7,143.9,-668.1
331,0.457,-1.233,1.1,162.0,39.6,-787.9
351,1.261,-0.094,1.329,-200.4,-300.7,-411.6
371,1.233,-0.194,1.304,-226.8,-437.1,-29.2
391,1.732,-0.925,0.288,-268.8,-246.4,-99.1
413,1.356,-0.607,0.514,-91.8,-206.8,-187.4
433,1.196,-0.367,0.409,60.9,-298.1,-226.7
454,0.814,-0.318,0.287,111.5,-453.2,-322.2
474,0.548,-0.191,-0.018,181.6,-722.1,-477.6
497,0.244,0.308,-0.345,85.1,-830.1,-696.6
517,1.352,1.06,-0.699,279.2,-673.5,-340.2
539,0.256,0.354,-0.862,450.8,-787.7,-272.1
561,-0.438,-0.179,-1.705,829.0,-1214.5,-237.6
585,0.038,0.042,-1.281,883.6,-1925.2,36.6
605,0.184,0.093,-0.96,840.6,-1938.6,96.6
625,-0.092,1.762,1.038,1464.2,-2293.2,366.1
647,-0.151,-0.099,-0.29,-502.8,-1371.7,70.0
667,-0.171,0.073,-0.446,-534.5,-1366.6,54.1
687,-0.174,0.085,-0.453,-572.7,-1349.8,27.3
707,-0.178,0.094,-0.461,-591.0,-1339.2,1.2
727,-0.183,0.107,-0.469,-616.1,-1330.2,-14.7
747,-0.188,0.371,-1.183,-639.3,-1339.0,-243.2
768,0.072,0.174,-0.261,815.3,-750.6,281.7
788,0.113,0.082,-0.197,792.7,-763.8,297.9
810,0.005,0.573,0.038,-311.3,-330.2,985.5
830,-7.104,1.67,-0.067,9.0,-496.2,447.8
853,-0.039,0.022,0.011,-5.8,-497.7,447.3
876,-0.251,0.185,-0.034,-412.4,-399.8,1001.9
897,-0.17,0.147,0.019,-430.8,-391.8,995.1
917,-0.54,0.334,0.106,12.9,-164.4,1355.1
939,0.413,1.015,0.323,531.2,82.3,-53.4
959,0.262,0.801,0.162,31.0,315.4,-310.0
981,0.406,0.753,0.022,-501.2,446.1,19.1
1001,0.353,0.737,0.307,-38.2,148.5,5.2
1021,-0.035,0.97,0.475,63.2,25.6,-74.4
1041,-0.15,1.082,-0.13,53.1,-2.5,31.6
1061,0.064,1.028,-0.076,-24.6,-2.1,-10.2
1084,-0.056,0.976,0.078,0.4,-2.8,1.9
1104,0.0,1.017,-0.011,1.4,-2.5,-0.7
1124,-0.02,1.0,0.033,1.1,-2.5,0.5
1144,-0.017,1.009,0.017,-0.9,-2.5,-0.2
1164,-0.02,1.009,0.019,0.4,-2.6,0.1
1187,-0.019,1.008,0.02,0.8,-2.7,0.2
1207,-0.018,1.004,0.02,0.7,-2.5,0.1
1230,-0.021,1.004,0.023,0.5,-2.5,0.1
1251,-0.02,1.006,0.019,0.7,-2.5,0.2
1271,-0.017,1.006,0.02,0.7,-2.7,0.0
1291,-0.019,1.005,0.02,0.6,-2.5,0.0
1312,-0.016,1.006,0.02,0.7,-2.5,0.1
1332,-0.018,1.006,0.02,0.7,-2.7,0.0
1354,-0.021,1.004,0.02,0.6,-2.6,0.0
1374,-0.02,1.005,0.02,0.7,-2.5,0.1
1394,-0.022,1.007,0.02,0.7,-2.7,0.2
1414,-0.017,1.007,0.02,0.7,-2.6,0.1
1434,-0.019,1.006,0.019,0.7,-2.5,0.1
1454,-0.02,1.004,0.02,0.6,-2.5,0.1
1474,-0.02,1.007,0.02,0.6,-2.7,0.0
1494,-0.017,1.006,0.018,0.7,-2.6,0.0
