time_ms,ax,ay,az,wx,wy,wz
0,-0.085,0.974,0.016,-18.1,167.2,116.6
20,0.294,1.254,-0.08,-6.1,317.0,-49.0
43,0.186,1.261,-0.421,-11.5,471.5,-157.0
65,0.631,1.78,0.004,-70.8,-115.5,-164.2
85,0.232,1.713,0.309,-163.5,-128.8,83.3
105,-0.13,1.707,-0.486,-213.6,-220.2,187.3
127,-0.309,1.526,-0.418,-221.7,-167.8,193.1
148,-0.215,1.276,-0.528,-247.5,-120.9,189.4
168,-0.001,1.226,-0.396,-330.4,-161.5,200.1
188,-0.042,1.046,-0.386,-327.4,-90.5,220.3
211,0.246,1.059,-0.005,-386.6,-36.8,172.3
231,0.289,0.956,-0.081,-405.2,33.1,141.8
251,0.177,0.611,-0.11,-365.1,164.5,-20.8
271,0.244,0.525,0.183,-358.5,197.1,-143.0
294,0.345,0.515,0.158,-342.3,230.9,-136.4
314,0.456,0.334,0.333,-341.3,366.2,-271.5
334,0.652,0.181,0.71,-314.8,379.4,-333.7
354,0.448,-0.006,0.925,-240.5,330.2,-349.7
374,0.315,0.097,0.789,-255.6,270.2,-323.6
394,-0.075,-0.59,0.844,-99.4,158.4,-221.4
417,-0.044,-1.053,1.017,72.1,119.6,-278.2
437,0.122,-0.924,0.869,289.1,157.7,-186.4
459,-0.115,-0.869,0.844,473.5,184.1,-54.0
479,-0.412,-0.588,0.885,747.8,192.7,-84.2
499,-0.514,0.724,1.403,489.3,103.1,-143.5
519,-0.391,-0.112,1.336,359.9,31.0,-114.9
539,-0.406,0.1,1.221,358.8,45.7,-115.2
559,-0.466,-0.077,1.629,294.8,24.7,-89.0
579,-0.47,-0.316,1.737,295.9,71.9,-56.5
600,-0.712,-0.643,1.892,351.6,93.9,1.2
620,-0.435,-0.434,1.934,430.8,229.5,53.6
640,-0.215,0.037,1.592,420.4,532.9,-29.3
660,-0.747,0.471,1.053,454.9,850.1,-36.3
680,-0.729,0.645,0.129,555.9,916.0,48.6
700,-0.347,0.417,-0.667,880.3,1183.4,145.9
721,-0.082,1.076,-0.787,904.3,1265.6,280.6
741,-0.205,0.363,-0.811,984.6,1489.9,417.9
761,-0.212,0.349,-0.79,990.4,1492.9,377.8
781,2.882,-3.372,1.315,841.9,528.2,263.6
805,-0.016,0.071,-0.016,-297.6,327.8,396.8
826,-0.033,0.068,-0.031,-288.0,333.9,386.2
849,-0.032,0.068,-0.033,-275.8,337.0,395.1
869,-0.034,0.065,-0.033,-266.5,337.2,401.1
889,-0.036,0.049,-0.033,-255.6,339.7,404.7
909,-0.033,0.284,-0.325,1189.2,333.8,199.2
929,-0.039,0.285,-0.321,1189.7,342.0,179.4
950,-0.047,0.285,-0.321,1188.5,347.6,163.8
970,-0.049,0.28,-0.318,1187.1,356.3,142.5
991,-0.101,0.181,-0.027,152.5,234.9,-890.9
1011,-0.079,0.105,0.061,146.8,235.4,-890.8
1031,-0.869,-1.634,1.906,307.5,1076.3,260.8
1051,-0.088,0.103,-0.307,331.5,1076.8,252.0
1071,-0.094,0.099,-0.306,334.7,1077.1,12.1
1091,-0.051,0.0,0.013,-18.4,-227.3,-342.8
1111,-0.731,-1.118,-0.33,-258.4,121.5,-79.8
1131,-0.697,-0.366,-0.281,-164.5,-134.6,163.0
1151,-0.495,-0.451,-0.131,-244.3,-9.5,440.7
1171,-1.917,0.817,-0.491,-43.4,0.0,161.4
1191,-0.934,0.291,0.047,-17.2,-29.1,-98.4
1211,-1.595,0.08,-0.022,14.5,-11.6,-117.0
1231,-0.658,-0.304,-0.001,-2.5,-4.6,112.0
1253,-1.002,0.254,0.009,1.4,-0.7,-6.3
1273,-0.992,-0.162,0.031,2.6,-2.8,10.2
1293,-1.053,0.078,-0.01,0.4,-2.3,-8.2
1316,-1.034,0.006,-0.002,0.5,-1.8,1.3
1336,-1.029,-0.001,-0.001,0.6,-2.8,-0.2
1357,-1.032,-0.004,0.004,0.7,-2.7,0.1
1377,-1.03,-0.002,0.003,0.7,-2.5,0.0
1397,-1.03,-0.005,0.002,0.8,-2.5,0.1
1417,-1.032,-0.008,0.001,0.7,-2.5,0.1
1438,-1.029,-0.009,0.001,0.7,-2.5,0.1
1458,-1.029,-0.004,0.001,0.6,-2.6,0.2
1478,-1.029,-0.003,0.003,0.7,-2.5,0.2
1499,-1.029,-0.006,0.006,0.7,-2.6,0.2
1519,-1.028,-0.01,0.002,0.7,-2.5,0.1
1539,-1.03,-0.008,0.002,0.7,-2.6,0.2
1559,-1.027,-0.006,0.003,0.7,-2.5,0.0
1581,-1.029,-0.006,0.007,0.7,-2.6,0.2
1601,-1.03,-0.006,0.003,0.7,-2.6,0.2
1621,-1.031,-0.009,0.002,0.7,-2.6,0.2
1644,-1.028,-0.01,0.003,0.7,-2.5,0.2
1666,-1.029,-0.01,0.002,0.7,-2.6,0.1
1686,-1.029,-0.006,0.005,0.7,-2.5,0.2
1706,-1.03,-0.005,0.002,0.8,-2.5,0.2
