time_ms,ax,ay,az,wx,wy,wz
0,0.115,1.402,0.941,-105.7,44.1,109.9
20,-0.498,0.171,1.184,-30.9,-34.5,-0.1
42,-0.193,0.421,0.989,-63.4,-3.3,-13.3
62,1.645,-2.012,1.337,-96.0,0.7,46.8
82,-0.477,-0.296,1.332,-270.0,-79.3,57.4
102,-0.336,-0.46,1.356,-245.3,-162.6,-3.2
123,-0.244,-0.828,1.382,-52.2,-167.8,-60.4
143,-0.28,-0.803,1.464,9.6,-294.4,-85.0
163,-0.357,-0.597,1.606,-33.9,-306.8,-102.7
186,-0.612,-0.785,1.138,37.1,-221.6,-309.8
206,-0.276,-0.665,0.739,296.1,-222.1,-469.8
226,-0.2,-0.463,0.54,319.1,-206.3,-382.9
246,-0.256,-0.164,0.233,137.4,-263.5,-192.5
266,0.033,0.325,0.289,-71.3,-414.5,181.4
286,0.28,0.178,-0.342,90.0,-363.5,553.3
306,0.064,0.043,-0.024,179.1,-364.7,611.4
327,5.169,2.901,-3.234,-189.9,-140.7,-35.3
347,1.018,-0.015,-0.012,-42.9,82.9,-250.3
367,2.18,0.716,0.095,6.9,117.1,50.1
387,1.511,0.403,0.616,-87.9,178.9,342.3
407,1.814,-0.842,1.606,-136.2,11.4,231.0
427,0.803,-0.516,1.138,-89.7,-91.5,160.0
447,0.811,-0.68,0.84,-104.5,141.5,245.7
467,0.341,-0.104,0.173,-44.6,444.5,504.0
487,-0.034,0.109,-0.072,-32.6,491.4,556.9
507,-0.032,0.11,-0.072,-10.9,488.7,559.5
527,-0.139,0.065,0.0,-35.4,529.2,489.7
547,-0.032,0.093,-0.083,-46.6,553.4,467.8
567,-0.033,0.089,-0.085,-30.3,551.3,470.7
588,-5.065,-5.325,3.054,337.6,-349.8,-603.4
608,-0.717,-0.853,1.285,273.9,-631.5,-524.6
628,-0.183,-1.558,1.67,369.8,-492.0,-368.8
650,-0.393,0.509,1.819,456.4,-571.1,-29.1
673,-0.187,0.277,0.264,204.4,-712.8,-51.2
693,-0.278,0.53,0.986,-92.7,-501.9,-205.5
713,0.217,-0.182,0.216,-197.6,-6.7,-29.6
735,0.006,-0.021,0.068,-146.5,-2.4,-60.9
755,0.541,-0.238,0.013,6.7,-849.3,159.6
776,3.17,-0.877,-2.127,-162.8,-1180.4,204.1
797,1.128,-1.708,-2.498,-69.0,-725.9,-233.5
817,1.144,-0.701,-0.422,303.1,34.5,-350.0
837,1.254,-0.576,-0.019,510.5,624.9,-818.4
858,1.802,1.921,-0.252,-409.0,1714.1,-287.2
878,-0.426,1.781,0.003,-1037.6,1705.4,-197.6
898,0.257,0.141,-0.86,-1103.0,1680.9,-157.7
920,-0.475,-0.65,-0.742,-1105.5,1593.0,-159.8
940,-0.345,-0.42,-0.085,-346.0,928.1,-457.4
962,0.047,-0.023,-0.104,-374.1,913.4,-450.4
983,0.559,-3.08,-0.534,85.9,879.7,-9.3
1003,0.544,-0.412,0.65,199.6,269.5,457.6
1025,-0.02,0.063,-0.005,116.7,268.2,459.4
1045,-0.336,-0.498,-0.826,-33.0,328.3,434.7
1067,-1.107,-0.847,-1.08,-355.1,126.2,810.5
1087,-0.286,-0.802,-1.222,-524.7,365.2,342.0
1108,-0.363,-0.15,-0.738,-447.2,548.5,-89.8
1128,0.519,0.592,-0.513,199.6,365.8,23.3
1148,-0.1,0.013,-0.017,254.1,343.2,49.6
1170,-0.113,0.018,-0.005,253.5,321.6,73.0
1190,-2.047,-1.183,-1.112,361.1,-523.9,889.9
1210,-3.484,-0.044,1.398,86.5,-559.0,714.0
1233,-0.735,0.397,-0.257,-143.0,-177.1,160.0
1254,-0.771,0.377,-0.48,-138.9,254.0,-432.1
1274,-0.084,0.035,0.021,-112.2,324.5,-633.0
1296,-0.423,-2.847,-4.304,65.9,661.9,-206.7
1316,0.212,-0.384,-0.769,181.7,556.9,-207.2
1336,0.752,-0.045,-0.378,456.4,641.3,235.6
1356,-0.055,0.09,-0.141,476.4,651.9,236.7
1376,-0.056,0.087,-0.138,480.3,650.1,226.3
1396,-0.586,0.159,-0.298,294.7,169.0,604.2
1416,-3.148,-2.703,-0.992,-19.3,-47.9,656.6
1436,-0.446,-0.502,-0.365,-175.3,-137.9,538.2
1457,-1.704,-0.598,-0.65,-137.4,-90.9,56.5
1477,-0.536,-0.955,-0.405,76.6,-45.0,-473.7
1497,-0.557,-0.697,0.026,399.0,-130.8,-1103.9
1517,2.012,-3.165,0.913,-109.7,-92.4,-909.3
1537,0.229,-0.158,-0.09,-92.4,216.4,-879.9
1557,2.016,0.34,0.115,-43.6,-78.7,-217.0
1577,-0.024,0.008,-0.061,108.5,-56.4,-92.6
1597,-0.017,0.005,0.031,111.6,-59.0,-92.6
1617,-0.016,0.003,0.035,111.7,-58.4,-92.3
1639,-3.221,-10.63,-4.768,-98.1,6.8,-176.3
1659,0.291,-0.664,-0.427,-65.2,67.3,-486.9
1679,1.317,-0.989,-0.477,25.0,294.0,-1078.9
1699,5.187,3.455,0.564,9.9,419.9,-395.7
1719,0.892,1.027,1.117,-98.2,596.5,-375.0
1741,0.465,0.421,0.397,-192.1,625.3,-369.2
1761,0.157,0.079,0.092,-251.5,582.8,-300.5
1781,0.018,-0.002,-0.02,-272.3,568.5,-272.5
1801,0.016,-0.003,-0.018,-284.4,564.6,-269.0
1823,0.019,0.0,-0.02,-295.8,560.5,-265.2
1843,3.755,-3.857,3.994,-230.8,94.7,-724.5
1865,0.122,-0.04,0.117,191.7,317.7,-735.0
1885,-0.084,0.226,3.059,190.8,-94.2,-187.1
1905,-1.527,-0.101,0.99,-117.3,162.6,-221.0
1925,-0.901,-0.662,0.877,-318.6,272.7,-182.7
1945,-0.857,-0.618,0.752,-352.8,266.3,-302.7
1968,-0.497,-0.451,0.475,-194.7,166.8,-284.5
1988,-0.393,-0.34,0.365,-77.6,61.5,-269.3
2010,-0.195,-0.156,0.183,196.6,-103.4,-225.4
