time_ms,ax,ay,az,wx,wy,wz
0,-0.205,-0.361,-0.011,65.7,-32.9,8.7
20,0.397,-1.144,-0.635,-20.3,235.4,3.7
42,1.659,-1.316,2.853,1.5,604.1,48.3
62,-1.076,-2.168,-0.219,-120.0,-183.4,255.6
83,0.699,-1.565,0.464,-41.3,12.9,256.6
103,0.326,-1.593,0.401,-102.3,32.2,329.4
124,0.033,-1.591,0.212,-148.0,46.6,409.2
144,0.116,-1.771,-0.056,-103.5,83.9,473.6
164,0.538,-1.559,0.153,-123.9,205.1,504.0
187,0.232,-1.144,0.32,-264.8,265.5,447.6
207,0.215,-0.868,0.295,-284.2,128.3,432.8
227,0.153,-0.446,-0.237,-299.2,-28.0,380.1
247,-0.053,-0.11,-0.356,-248.5,-109.2,331.4
267,-0.045,0.038,0.022,-274.7,-85.5,328.1
287,-1.447,2.998,-1.19,539.7,6.0,231.3
310,-0.189,0.239,-0.307,429.6,-101.7,273.7
334,-0.838,0.924,-1.041,136.6,-683.8,26.1
355,-0.788,1.035,-1.705,401.5,98.6,-404.6
375,-1.201,0.847,-1.052,273.8,34.9,-162.4
395,-1.017,0.892,-0.826,232.8,7.9,-142.3
418,-1.156,0.981,-0.758,112.9,-90.1,-169.8
438,-1.277,0.969,-0.692,49.0,-109.2,-218.7
461,-1.333,1.037,-0.861,-23.8,-147.7,-294.0
481,-1.285,0.936,-1.058,-50.7,-234.0,-371.0
503,-1.237,0.525,-1.011,21.4,-353.8,-444.8
527,-0.834,-0.881,-0.812,178.0,-370.3,-410.2
547,-0.169,-0.146,-0.101,396.1,-347.6,-617.1
570,-0.041,0.123,-0.069,415.1,-343.4,-608.6
590,-0.035,0.136,4.991,590.8,135.5,-360.2
610,-0.192,0.098,-0.259,457.5,29.3,-268.1
630,-0.044,0.052,-0.014,458.8,37.8,-259.5
650,-0.044,0.054,-0.006,460.8,39.9,-261.6
674,-0.04,0.058,-0.007,459.8,46.3,-258.3
694,-0.042,0.057,-0.002,458.6,52.9,-257.5
716,0.053,-0.217,0.167,-108.9,1251.5,-215.3
736,-0.799,0.723,0.599,514.0,-142.1,275.8
756,-0.224,0.508,0.628,392.6,-485.9,498.9
779,1.272,3.484,3.838,255.5,0.7,-82.2
799,-0.01,0.148,0.371,257.2,8.8,-89.8
819,0.089,0.287,0.111,385.0,-109.3,-68.3
841,0.463,0.746,0.495,421.3,-54.8,-99.1
862,-0.208,1.048,0.754,498.1,39.5,-21.7
882,-0.213,0.59,0.377,559.0,4.5,77.4
902,0.028,0.541,0.183,738.1,4.4,60.4
922,-0.056,6.906,0.393,861.3,-3.7,115.5
942,-0.02,0.347,-0.061,196.2,-63.1,-51.8
962,0.02,0.589,-0.156,-127.5,-69.8,-20.1
982,-0.063,1.104,-1.281,-135.1,-32.5,5.2
1003,0.02,0.961,0.134,29.2,-3.1,-5.1
1023,-0.067,1.005,0.032,-10.3,-2.4,6.3
1043,-0.022,1.008,0.027,4.3,-2.8,-2.1
1063,-0.028,1.003,0.035,0.6,-2.6,0.2
1084,-0.03,1.005,0.029,0.5,-2.5,0.4
1105,-0.03,1.006,0.034,0.6,-2.5,0.2
1126,-0.029,1.008,0.031,0.6,-2.6,0.2
1146,-0.033,1.005,0.03,0.7,-2.5,0.3
1169,-0.031,1.007,0.033,0.7,-2.5,0.2
1190,-0.032,1.008,0.033,0.6,-2.6,0.1
1211,-0.03,1.008,0.031,0.7,-2.7,0.2
1231,-0.029,1.004,0.029,0.7,-2.7,0.2
1253,-0.029,1.006,0.029,0.7,-2.7,0.2
1274,-0.029,1.007,0.033,0.7,-2.5,0.2
1294,-0.028,1.007,0.031,0.7,-2.5,0.2
1314,-0.032,1.007,0.03,0.6,-2.5,0.2
1334,-0.03,1.004,0.03,0.7,-2.6,0.1
1357,-0.028,1.003,0.032,0.7,-2.6,0.0
1377,-0.029,1.007,0.033,0.6,-2.5,0.2
1399,-0.031,1.007,0.03,0.6,-2.5,0.3
1419,-0.03,1.005,0.032,0.7,-2.6,0.1
1439,-0.029,1.005,0.031,0.7,-2.5,0.1
1459,-0.03,1.005,0.031,0.7,-2.6,0.0
1479,-0.032,1.006,0.032,0.7,-2.6,0.2
