time_ms,ax,ay,az,wx,wy,wz
0,-0.67,-0.046,-0.068,156.3,7.3,19.0
20,-1.708,0.263,0.041,6.3,44.1,80.0
41,-1.197,-0.288,-0.057,160.3,-20.3,206.9
61,-0.986,-0.74,-0.618,356.0,167.7,215.1
83,-1.557,0.098,-0.202,296.3,134.5,168.9
103,-1.607,0.349,-0.16,180.6,205.6,75.5
123,-1.727,0.509,-0.191,282.8,236.6,79.8
143,-1.812,0.489,-0.454,336.9,387.4,34.7
163,-1.996,0.485,-0.184,411.8,299.8,80.7
186,-1.385,0.454,0.067,416.2,302.4,80.2
209,-0.881,0.614,0.29,403.6,264.6,94.2
229,-0.379,0.599,0.319,262.4,104.5,89.1
249,0.011,0.261,0.384,119.4,52.3,141.4
269,-0.002,-0.326,0.142,146.3,36.1,62.2
290,-0.023,-0.055,0.033,27.5,74.6,-167.0
310,-0.035,-0.227,0.0,-71.1,124.5,-560.9
330,0.311,-0.846,-0.421,-434.6,148.4,-647.1
351,0.315,-0.48,-1.956,595.2,-218.4,23.7
372,-0.441,-1.285,-1.315,112.4,-265.2,80.7
392,-0.578,-1.003,-0.933,17.2,-470.3,11.2
412,-0.693,-0.693,-0.517,-171.5,-556.0,-13.3
432,-5.74,0.621,-0.339,-59.0,-398.5,-100.4
453,-1.237,-0.176,1.001,133.9,-4.8,-106.1
473,-0.277,-0.021,0.215,219.8,129.1,-177.8
495,-0.034,0.015,0.028,235.5,131.5,-177.4
515,-0.033,0.014,0.027,233.3,133.7,-178.9
537,-0.033,0.013,0.027,231.0,135.8,-179.8
557,1.24,1.502,-0.908,635.5,-111.5,63.8
577,-0.233,-5.789,-4.143,1181.3,-416.8,496.0
599,-1.637,-1.753,1.27,836.2,-47.2,435.6
619,-1.137,-0.331,1.014,832.8,247.1,976.7
641,-0.965,1.585,0.824,794.9,391.8,1003.3
662,-0.145,1.001,-0.319,568.2,354.7,1229.1
682,0.323,1.414,-0.254,155.1,140.3,164.0
702,-0.019,0.009,0.032,113.8,120.6,19.6
723,-0.021,0.01,0.032,113.6,120.2,18.9
745,-0.022,0.01,0.035,113.2,120.3,18.5
765,-0.023,0.01,0.031,112.9,120.4,18.2
785,-0.04,-0.778,0.151,-278.3,524.0,753.5
806,-0.328,1.061,-0.465,-336.2,651.7,1800.1
826,0.349,1.708,-0.627,-651.6,383.8,1935.7
849,1.529,-0.032,0.845,-137.4,-209.7,1278.6
869,0.287,-0.106,-0.009,-172.7,-205.7,1029.0
889,0.294,-0.219,-0.004,-282.1,-289.9,1136.4
909,-1.229,-1.581,0.446,-720.0,4.0,534.5
932,-0.125,0.157,-0.255,-1023.6,200.3,461.7
953,-0.084,0.248,-0.255,-1015.8,219.1,472.2
973,-0.084,0.246,-0.256,-1005.4,238.1,485.1
993,-0.08,0.245,-0.26,-995.0,256.5,497.0
1013,6.794,-3.468,-2.482,-62.1,-503.0,16.1
1037,-0.428,-0.05,-0.722,161.2,-1112.9,-168.4
1057,-0.446,1.114,-3.799,188.0,-773.1,-225.8
1079,-0.791,0.135,-0.69,11.2,-875.0,15.8
1099,-1.891,0.251,1.217,14.2,-432.0,195.0
1119,-0.022,-0.004,0.01,35.4,-420.4,210.7
1141,-0.022,-0.005,0.015,28.2,-420.6,210.7
1161,-0.024,-0.004,0.013,19.3,-420.8,210.7
1183,-0.651,-1.565,-4.007,-286.5,-608.7,526.0
1203,-1.137,0.193,-0.092,-322.7,-706.6,446.1
1226,-2.061,3.293,3.369,-533.1,-757.8,558.5
1246,0.342,1.186,2.582,-657.3,-608.6,542.9
1266,0.401,-0.107,0.483,-260.4,-323.6,29.7
1286,0.262,-0.101,0.379,-135.8,94.2,39.9
1306,0.012,-0.501,0.644,-8.4,186.6,-146.7
1326,-0.054,-0.056,0.089,155.2,199.8,-118.5
1348,-0.032,-0.031,0.062,163.5,199.2,-95.1
1368,-1.384,0.595,0.947,552.6,-113.9,452.0
1388,-1.192,1.382,-0.159,-309.3,-769.0,415.5
1411,0.156,0.162,0.663,-161.8,-606.2,-40.6
1435,0.024,0.678,1.033,-105.7,-526.1,-53.6
1455,-0.292,0.616,0.879,-279.6,-456.1,77.3
1475,-0.622,0.688,1.023,-457.3,-509.5,50.9
1495,-0.77,0.395,1.747,-550.9,-562.1,-53.9
1515,-0.48,-0.257,2.262,-237.0,-406.3,-42.0
1535,-0.146,-1.074,2.235,55.7,-391.4,159.8
1555,0.176,-1.032,1.202,227.5,-456.3,-15.8
1575,0.788,0.194,0.486,120.4,-599.2,399.4
1595,-0.026,-0.016,-0.006,1.7,-717.2,602.0
1616,-0.024,-2.602,-3.327,-0.9,-736.6,62.9
1636,-0.321,0.164,-0.555,-987.7,-1344.9,242.5
1656,-0.322,0.192,-0.575,-1036.2,-1320.9,199.1
1676,-0.319,0.224,-0.589,-1084.1,-1285.0,150.1
1696,-0.31,0.244,-0.594,-1114.7,-1266.3,114.4
1716,-3.818,3.464,-2.057,-1543.5,-1594.8,17.0
1738,-0.099,0.052,-0.124,-503.0,-666.5,70.4
1758,-0.088,0.057,-0.108,-513.5,-660.1,57.3
1778,-0.084,0.06,-0.108,-521.7,-654.2,48.2
1798,-0.085,0.064,-0.104,-530.0,-649.6,38.0
1818,0.433,0.034,3.274,-651.9,84.7,-436.1
1838,0.046,0.084,-0.024,-598.1,148.1,-441.4
1858,0.048,0.083,-0.022,-599.5,140.9,-441.8
1881,0.166,0.069,0.066,-732.4,-66.0,-525.2
1902,0.821,-0.615,0.681,-699.5,13.7,-459.6
1922,0.445,-0.251,0.447,-727.0,-54.3,-464.4
1942,0.371,-0.114,0.176,-878.0,-198.5,-456.9
1962,0.096,-0.061,-0.003,-393.4,30.1,-41.6
1982,1.778,-0.827,-0.731,-254.3,177.8,-60.4
2002,0.816,-0.715,-0.685,-252.9,182.5,-82.5
2022,0.665,-0.623,-0.406,-126.9,313.6,-96.0
2042,0.643,-0.646,-0.362,-5.6,410.2,-115.9
2062,1.348,-1.433,1.002,-3.5,216.5,-405.5
2082,0.605,-0.574,0.63,-113.9,98.4,-439.6
2102,0.63,-0.588,0.467,-103.8,-26.7,-596.2
2126,0.179,-0.006,0.113,-73.8,-213.7,-823.7
2146,0.077,0.094,-0.077,-90.7,-150.0,-7.3
2166,0.965,0.37,-0.341,-158.8,170.4,106.8
2186,0.832,0.133,0.371,-15.4,-9.5,47.8
2206,1.044,-0.137,-0.007,7.5,-49.4,8.8
2226,1.029,0.081,0.108,-0.6,12.6,4.0
2246,0.985,-0.013,0.066,1.5,-2.8,-3.9
2266,0.984,0.012,0.095,0.7,-2.5,0.9
2286,0.991,0.012,0.084,0.9,-2.9,0.1
2306,0.99,0.017,0.075,0.7,-2.8,0.2
2326,0.991,0.019,0.076,0.6,-2.5,0.4
2349,0.99,0.016,0.076,0.7,-2.3,0.2
2369,0.99,0.021,0.08,0.7,-2.5,0.2
2390,0.99,0.021,0.08,0.8,-2.5,0.1
2410,0.991,0.019,0.073,0.8,-2.5,0.3
2432,0.989,0.018,0.075,0.7,-2.5,0.2
2452,0.989,0.018,0.079,0.7,-2.5,0.1
2472,0.988,0.019,0.079,0.7,-2.5,0.1
2496,0.989,0.02,0.076,0.7,-2.6,0.0
2516,0.989,0.018,0.076,0.8,-2.6,0.2
2536,0.99,0.017,0.078,0.7,-2.5,0.0
2556,0.99,0.018,0.078,0.7,-2.5,0.1
2576,0.988,0.02,0.076,0.7,-2.5,0.2
2598,0.991,0.023,0.078,0.7,-2.5,0.2
2618,0.99,0.019,0.078,0.7,-2.6,0.1
2641,0.991,0.018,0.075,0.7,-2.5,0.2
2661,0.991,0.019,0.078,0.8,-2.5,0.1
