time_ms,ax,ay,az,wx,wy,wz
0,0.638,1.662,-0.125,-113.6,-11.2,-513.3
20,-0.205,-0.631,-1.412,211.3,-40.2,-355.3
40,0.327,-1.018,-0.843,38.5,-22.7,220.9
60,0.428,0.098,-1.518,-342.8,-55.1,268.3
80,0.342,-0.148,-1.458,-45.2,-175.2,-23.1
100,-0.043,-0.192,-1.437,-77.1,-106.3,-86.8
120,0.433,-0.304,-1.612,-179.2,-143.9,-52.5
142,0.107,-0.643,-1.758,-38.8,-284.8,-178.0
162,0.674,-0.061,-1.449,38.7,-277.2,-109.6
182,0.754,0.257,-1.011,-166.7,-268.9,184.5
204,0.196,-0.139,-0.931,-183.1,-300.1,160.3
224,1.228,0.452,-0.319,-262.0,-174.2,224.0
246,0.082,0.333,-0.274,-549.7,-268.5,263.6
266,-0.474,0.565,-0.315,-537.8,-393.5,-7.9
289,-0.183,0.157,-0.148,-407.9,-440.6,-199.5
309,-0.407,0.255,0.061,-236.3,-362.0,-439.8
329,-0.313,0.366,0.264,749.0,164.3,93.8
349,-0.711,0.96,0.201,921.2,369.6,161.2
369,-1.234,2.061,0.368,674.3,543.6,176.8
389,-0.821,1.116,-0.391,354.9,384.0,390.3
413,-1.353,1.359,-0.48,339.5,388.2,427.1
433,-1.524,1.828,-0.92,317.5,358.3,443.3
454,-1.597,1.823,-0.899,141.4,267.1,403.3
474,-1.046,1.497,-0.662,-179.4,306.1,543.7
494,-0.434,1.972,-0.259,246.3,179.6,620.7
514,0.561,2.308,-0.467,317.3,145.1,425.8
537,0.486,0.658,-0.641,460.1,338.1,133.9
557,0.221,0.009,-0.326,739.4,599.0,153.0
578,-0.083,0.124,-0.188,747.8,607.2,125.8
598,0.724,2.08,-1.55,2021.9,599.2,2005.5
618,0.737,2.035,0.525,2291.6,43.1,1352.0
638,0.688,1.474,-1.353,2293.4,2.8,1343.5
662,0.705,1.443,-1.375,2293.4,-86.7,1309.0
686,-0.054,0.299,-0.406,1345.3,-149.3,-271.8
706,-0.062,0.354,-0.419,1352.2,-124.4,-266.7
726,-0.066,0.351,-0.417,1355.4,-102.1,-259.7
748,-0.068,0.35,-0.416,1356.3,-84.2,-258.2
768,-0.071,0.346,-3.373,1419.4,-37.7,195.8
788,0.118,0.861,-1.021,2129.5,133.2,351.6
809,0.006,0.188,-0.253,1099.3,94.7,-503.2
833,-0.159,0.262,-0.253,1100.8,129.7,-500.4
853,-0.164,0.257,-0.248,1095.9,157.8,-500.2
873,5.341,2.266,-0.109,202.0,984.1,-564.4
893,-0.203,0.257,0.427,-311.5,153.1,-91.6
913,-0.006,0.019,0.023,-312.3,151.9,-91.2
933,-0.113,0.012,0.042,-49.3,-290.2,274.6
953,-0.614,0.101,1.672,20.4,-498.4,391.3
973,0.092,0.311,0.457,87.0,55.9,108.0
997,-0.043,0.393,1.115,-91.4,-1.5,56.8
1017,-0.026,-0.189,0.987,-6.7,14.7,-3.0
1037,-0.084,0.085,1.073,10.7,-12.6,2.0
1057,-0.085,0.0,1.046,2.4,-4.8,0.4
1077,-0.044,0.026,1.049,0.3,-2.3,0.2
1097,-0.049,0.025,1.051,0.5,-2.2,0.0
1117,-0.055,0.02,1.047,0.5,-2.5,0.0
1137,-0.056,0.022,1.05,0.6,-2.5,0.2
1157,-0.055,0.021,1.049,0.7,-2.5,0.2
1178,-0.054,0.021,1.051,0.7,-2.6,0.2
1198,-0.055,0.021,1.051,0.7,-2.6,0.2
1218,-0.054,0.023,1.049,0.7,-2.6,0.2
1238,-0.053,0.02,1.047,0.7,-2.5,0.2
1260,-0.055,0.021,1.049,0.6,-2.6,0.2
1280,-0.055,0.021,1.051,0.7,-2.5,0.2
1300,-0.054,0.022,1.049,0.7,-2.6,0.2
1320,-0.054,0.02,1.051,0.7,-2.5,0.0
1340,-0.054,0.022,1.05,0.7,-2.6,0.1
1360,-0.054,0.02,1.05,0.7,-2.5,0.2
1383,-0.052,0.021,1.049,0.7,-2.6,0.1
1403,-0.055,0.02,1.048,0.7,-2.5,0.1
1423,-0.055,0.023,1.047,0.7,-2.5,0.0
1443,-0.056,0.021,1.05,0.7,-2.6,0.1
1463,-0.055,0.021,1.049,0.7,-2.7,0.1
