time_ms,ax,ay,az,wx,wy,wz
0,1.019,1.191,-2.205,115.6,25.4,145.1
20,0.49,0.074,-2.014,165.7,17.2,108.4
42,0.087,-0.175,-1.492,-24.5,-141.9,5.6
62,0.59,-0.446,-1.364,-53.2,-166.8,52.7
82,0.465,-0.356,-1.277,-116.3,-206.0,106.4
104,0.503,-0.388,-1.097,-107.0,-215.6,51.4
125,0.359,-0.335,-0.768,-119.4,-217.4,33.1
145,0.136,-0.336,-0.581,-167.1,-175.4,-66.8
165,0.049,-0.303,-0.547,-68.6,-205.8,-236.9
187,0.037,0.005,-0.318,46.2,-154.9,-277.8
208,-0.04,0.02,0.049,30.9,-129.6,-239.3
228,-0.131,0.117,0.065,14.0,-160.0,-253.6
251,-0.793,0.501,0.001,-76.3,-249.0,-401.4
271,-1.471,0.587,-0.143,241.9,299.6,-1374.5
291,-3.782,-3.172,-0.659,-146.3,417.6,-815.4
311,-0.384,-0.694,-0.804,-216.0,403.6,-645.6
331,1.13,-0.744,-1.124,-450.3,448.9,-432.1
354,1.236,1.989,-1.656,-398.2,848.2,195.5
374,0.024,0.134,-0.348,-613.2,903.9,296.8
394,0.61,0.758,0.063,-520.6,797.8,373.5
414,-0.043,0.121,-0.325,-618.9,845.6,384.4
434,0.0,0.159,-0.292,-595.8,848.6,410.6
454,-0.006,0.16,-0.29,-576.2,851.4,434.6
474,-0.011,0.162,-0.293,-558.2,854.0,453.1
494,-0.015,0.158,-0.293,-519.1,865.3,140.2
515,0.865,-1.726,1.643,742.5,959.7,-18.8
536,-0.201,-0.24,1.526,1258.7,680.7,198.3
556,-0.889,0.407,0.658,310.5,143.9,-410.7
579,-0.473,0.212,0.324,-163.7,194.9,-793.5
599,-0.092,0.0,0.68,-356.1,404.0,-762.1
621,-0.097,-0.1,0.109,-600.0,468.2,-900.2
642,0.126,0.144,0.001,-639.3,427.4,-961.5
662,0.13,0.152,-0.001,-656.3,400.6,-961.1
682,0.838,-0.591,0.639,-514.9,637.2,-843.2
706,1.138,-1.019,0.726,-399.2,1235.1,-197.8
726,0.264,0.073,-0.32,-753.8,1335.9,266.4
747,-1.663,-1.367,1.4,-600.1,613.9,97.0
767,0.057,0.089,-0.183,-766.0,604.7,-33.4
788,0.026,-6.402,-3.339,-318.3,856.9,-839.5
808,1.056,-1.087,-0.044,-573.3,512.9,-788.6
828,1.095,0.431,-0.206,-173.2,1030.8,-511.6
848,0.665,0.608,0.593,-478.3,791.3,61.7
868,-0.035,0.017,-0.193,-543.4,683.2,256.4
888,0.002,0.095,-0.182,-533.8,685.0,273.6
910,0.0,0.097,-0.182,-521.0,686.7,287.7
930,0.067,0.374,-2.983,-796.8,646.5,-46.2
950,1.219,-1.183,-0.604,-278.9,554.8,-477.0
970,0.508,-0.024,-0.085,-183.8,891.8,-282.3
990,4.366,-3.883,4.941,-141.0,544.5,-409.2
1010,0.437,-0.422,0.61,-103.8,419.5,431.4
1032,-1.006,-1.544,1.72,-586.6,416.7,495.9
1052,-0.305,-0.251,-0.333,-1019.4,705.4,256.5
1073,-0.017,-0.07,-0.599,-906.6,812.2,12.8
1095,0.098,0.107,-0.289,-848.8,842.5,-57.7
1118,0.094,0.113,-0.295,-853.5,838.3,-30.8
1138,0.089,0.115,-0.3,-856.3,835.0,-6.2
