time_ms,ax,ay,az,wx,wy,wz
0,-1.134,1.92,0.12,180.9,348.4,20.3
20,-0.454,1.111,0.227,-14.7,123.2,133.4
40,4.713,0.477,-1.554,-59.6,117.9,115.2
60,-0.012,1.673,0.468,79.3,-69.8,186.9
80,0.795,1.615,0.177,131.6,-105.9,86.9
100,0.631,1.396,0.33,129.1,-116.8,-7.1
120,0.486,1.265,0.106,190.1,-157.0,-65.9
140,0.423,1.031,0.134,286.3,-141.1,-158.3
160,0.478,0.901,0.129,361.1,-86.1,-99.6
180,0.189,0.828,-0.032,409.1,-141.6,-28.7
200,0.28,0.583,-0.257,431.4,-162.4,-2.8
220,-0.107,0.4,-0.292,437.9,-122.2,-33.7
240,-0.019,0.056,-0.036,451.0,-216.6,-117.0
260,-0.013,0.05,-0.029,451.7,-230.7,-119.1
280,-0.011,0.047,-0.033,453.4,-228.3,-115.5
301,-2.625,-1.735,-2.618,367.0,-250.8,167.5
321,-0.345,-0.063,-0.59,-339.7,2.3,342.4
344,-1.784,0.813,-2.238,-472.4,419.1,287.4
364,0.518,1.074,-1.15,-185.9,216.4,55.9
384,-0.286,1.231,-0.573,-338.1,-105.3,-73.5
404,0.133,0.59,0.056,-522.4,-136.1,149.4
424,-0.048,0.064,-0.036,-547.7,-125.9,166.6
444,-0.047,0.063,-0.033,-549.2,-121.9,164.8
464,-0.047,0.069,-0.037,-550.7,-116.1,163.5
484,-0.045,0.069,-0.033,-551.8,-110.8,162.2
505,-0.045,0.069,-0.03,-553.1,-105.0,160.8
525,-0.045,0.07,-0.033,-553.5,-98.6,158.4
547,-2.429,3.566,3.309,669.7,-33.6,1452.7
567,1.014,0.626,0.613,741.9,-781.2,807.4
587,2.556,0.738,-0.692,544.4,-814.7,777.9
607,1.004,0.324,-0.449,329.0,-662.2,1017.6
627,0.391,0.092,-0.025,212.2,-412.0,913.3
647,0.005,0.064,0.065,145.1,-391.0,835.1
667,-0.006,0.061,0.063,128.6,-399.1,833.0
687,-0.484,0.1,-0.338,122.5,-400.4,748.0
707,-0.879,0.967,-0.629,426.7,76.5,332.4
730,0.213,-0.687,-0.643,485.5,374.0,-65.5
750,-0.813,-1.25,-1.02,566.8,899.2,-1024.4
770,0.881,-1.964,1.648,606.0,309.4,-1144.9
791,0.258,-0.471,0.837,-236.1,-7.6,175.8
811,-0.29,-1.124,0.409,-286.7,-209.8,294.9
831,-0.038,-0.828,0.013,-303.9,-169.7,294.2
851,-0.005,-0.724,-0.257,-228.2,-186.9,210.4
871,-0.005,-0.331,-0.146,-224.5,-91.2,222.2
892,0.013,0.004,-0.008,-234.7,-42.2,131.3
912,-0.024,0.015,-0.099,-237.2,-40.7,139.2
932,1.545,0.607,-2.147,96.3,-130.6,315.0
953,0.38,-0.698,-1.26,493.7,120.1,-58.7
973,0.752,-1.891,-1.144,887.6,70.9,-121.3
995,-0.185,-4.809,4.146,736.8,161.2,-269.4
1016,-0.154,-1.002,1.154,640.8,101.4,35.0
1036,0.473,-0.003,1.287,545.5,222.6,-149.3
1058,0.502,0.315,0.532,228.8,262.5,69.0
1079,-0.012,0.018,0.026,114.8,161.9,221.9
1099,-0.014,0.012,-0.251,130.9,168.9,260.0
1119,2.336,-2.615,0.272,478.3,362.4,247.1
1139,0.267,-0.539,0.662,434.7,482.9,332.7
