time_ms,ax,ay,az,wx,wy,wz
0,-0.301,-0.315,-1.025,-65.6,-136.0,123.6
20,-0.075,-0.061,-0.838,16.1,13.5,-0.7
40,0.015,0.022,-0.994,4.3,-9.5,0.1
60,0.011,-0.008,-0.971,1.4,-3.0,0.0
80,0.007,-0.009,-0.966,0.8,-2.5,0.0
100,0.006,-0.008,-0.959,0.7,-2.6,0.0
120,0.013,-0.001,-0.967,0.2,-3.5,0.0
140,0.009,-0.01,-0.96,0.4,-3.0,0.2
160,0.007,-0.008,-0.962,0.7,-2.5,0.1
180,0.006,-0.007,-0.96,0.7,-2.6,0.1
200,0.007,-0.008,-0.963,1.1,-3.0,0.1
222,0.007,-0.01,-0.95,0.9,-2.8,0.1
242,0.009,-0.008,-0.982,0.8,-2.8,0.0
264,0.006,-0.007,-0.95,0.9,-2.7,-17.8
284,0.006,-0.007,-0.969,0.9,-2.7,0.0
305,0.008,-0.006,-0.952,0.8,-2.8,0.1
325,0.008,-0.006,-0.967,0.9,-2.7,0.1
345,0.01,-0.01,-0.957,0.8,-2.7,0.0
365,0.006,-0.007,-0.966,0.9,-2.6,0.0
385,0.007,-0.006,-0.957,0.9,-2.7,0.0
406,0.008,-0.006,-0.968,0.6,-2.7,0.0
426,0.011,-0.008,-0.964,0.9,-2.6,0.1
446,0.005,0.0,-0.959,0.2,-2.7,0.1
468,0.009,-0.007,-0.961,0.4,-2.3,0.0
489,0.005,-0.009,-0.958,0.8,-2.5,0.2
509,0.011,-0.007,-0.96,0.9,-2.7,0.0
529,0.006,-0.009,-0.961,1.0,-2.7,0.1
549,0.004,-0.006,-0.964,0.9,-2.7,0.1
569,0.007,-0.006,-0.963,0.9,-2.6,0.2
589,0.008,-0.01,-0.962,0.8,-2.7,0.2
610,0.006,-0.009,-0.963,0.7,-2.7,0.2
630,0.006,-0.008,-0.964,0.8,-2.6,0.0
650,0.007,-0.009,-0.962,0.9,-2.8,0.0
670,0.006,-0.008,-0.959,0.9,-2.6,0.0
690,0.01,-0.007,-0.963,0.9,-2.8,0.1
710,0.006,-0.008,-0.961,0.8,-2.6,0.1
