time_ms,ax,ay,az,wx,wy,wz
0,-0.53,-0.597,1.014,11.7,-12.1,-65.3
20,-0.128,-0.021,1.026,-2.1,4.6,56.7
40,-0.197,-0.115,1.078,0.0,-5.2,170.8
60,-0.105,-0.081,1.095,39.9,-9.3,327.6
81,0.437,0.632,0.913,-16.0,41.7,-90.4
101,0.259,0.592,1.096,71.2,-6.4,143.8
125,-0.137,0.212,1.057,137.0,57.5,-30.6
145,0.01,0.124,0.999,157.7,107.3,-63.4
165,0.028,0.233,1.058,128.7,88.3,-52.9
185,0.225,0.202,0.964,86.8,37.3,51.4
205,0.227,0.376,1.07,49.9,-19.3,225.4
228,-0.083,0.22,0.873,50.9,-24.6,184.9
248,-0.198,0.46,1.186,84.0,-69.7,85.8
268,-0.155,0.34,0.879,-26.8,-56.8,-38.0
288,-0.092,0.309,0.876,-3.9,-69.5,-48.7
308,-0.106,0.419,0.883,-36.0,-61.2,-49.2
331,-0.079,0.398,0.77,-31.5,-34.5,-4.6
351,-0.064,0.396,0.781,-22.2,1.6,95.5
371,-0.103,0.574,1.223,-143.2,63.9,140.0
391,-0.183,0.364,1.023,-320.6,55.0,198.2
411,-0.285,0.22,1.077,-251.7,31.9,127.8
431,-0.221,0.091,1.098,-108.4,-12.5,25.0
451,-0.042,0.091,1.029,-66.5,-21.5,-2.7
471,-0.032,0.202,0.957,57.0,-42.7,36.0
492,0.036,0.192,1.261,113.6,-62.7,68.8
513,-0.071,0.098,1.174,58.1,-36.9,99.3
533,-0.115,0.076,1.099,7.4,-22.6,94.9
556,-0.031,0.092,1.049,-3.2,-13.0,94.2
577,0.0,0.037,1.047,4.4,3.0,73.0
600,0.024,-0.031,1.041,5.0,5.8,64.4
620,0.029,0.024,1.092,2.6,-13.5,67.1
641,-0.022,0.007,1.111,-1.8,-22.7,53.6
661,-0.07,0.004,1.089,13.2,-13.8,-1.0
681,0.017,-0.005,1.033,23.8,1.0,-25.8
701,0.073,-0.095,1.001,44.5,2.2,-7.3
721,0.076,-0.131,0.951,36.6,1.1,17.6
741,0.086,-0.122,0.923,30.6,-3.2,51.3
761,0.099,-0.11,0.888,21.1,-10.5,63.6
784,0.0,-0.061,0.843,6.0,-8.6,62.5
804,-0.05,-0.105,0.866,16.3,1.6,28.0
824,-0.003,-0.077,0.949,24.5,5.7,9.4
845,0.062,0.0,1.049,12.7,6.3,13.0
866,0.009,-0.027,1.023,10.1,14.9,15.4
889,0.018,-0.08,1.047,25.0,3.9,28.9
909,-0.196,0.012,0.97,101.2,-131.1,68.8
930,1.885,1.771,2.699,-505.3,364.5,16.1
950,-1.404,-2.34,3.683,172.2,123.3,-42.9
972,-0.594,0.288,0.864,-0.7,-162.6,-94.0
992,0.345,-0.22,0.914,-10.1,21.9,0.4
1013,-0.195,0.169,1.046,5.0,-10.0,0.2
1037,-0.088,-0.007,1.05,7.0,-2.1,0.4
1057,-0.12,-0.194,1.166,12.3,-53.3,-114.8
1077,-0.882,-0.102,1.478,-69.6,-209.7,-196.4
1100,0.177,0.077,2.102,-124.4,-144.4,59.7
1120,0.49,-0.356,1.592,204.8,-63.4,-82.1
1140,0.441,-0.373,1.615,217.8,-30.1,-175.4
1161,0.364,-0.503,1.621,244.7,-83.5,-225.9
1181,0.322,-0.449,1.484,236.1,-192.8,-234.9
1201,0.658,-0.541,1.007,164.6,-171.3,-197.8
1221,0.83,-0.213,0.736,-17.5,-65.7,-89.1
1241,0.689,-0.56,0.35,-37.8,177.1,-120.8
1261,-0.077,-0.768,0.609,-55.7,52.5,-276.7
1284,0.152,-0.254,0.118,139.0,14.8,-231.6
1304,-0.313,-0.186,-0.336,251.4,171.2,-185.3
1324,-0.363,-0.227,-0.093,414.4,324.2,-223.2
1344,-0.058,0.256,-0.034,261.7,386.8,43.4
1366,-1.129,1.207,-0.58,220.3,400.2,456.5
1386,-0.51,2.402,-0.177,-621.3,-106.9,-559.0
1406,-1.15,1.224,0.513,-36.8,373.6,-198.0
1426,-2.274,1.896,1.034,182.9,426.9,57.7
1448,-1.003,1.073,0.994,-32.8,203.8,8.6
1468,-0.928,0.894,1.179,-331.5,155.4,-53.9
1491,-0.563,-1.075,1.029,53.9,-91.4,4.9
1511,-0.317,-0.678,0.987,301.2,-309.6,-78.5
1534,-0.025,0.262,0.515,342.7,-589.7,-86.2
1554,0.042,0.137,0.032,215.1,-606.9,31.1
1576,-0.002,0.01,-0.049,212.8,-604.4,32.0
1596,-0.004,0.035,0.006,208.1,-573.0,-0.8
1616,-1.983,3.399,-0.494,-589.6,-246.6,-352.6
1636,-0.301,1.802,1.229,-1054.3,110.3,-306.7
1657,-1.71,1.113,1.549,-1117.2,26.3,-319.2
1677,-0.682,-1.6,1.769,-7.7,-425.2,7.9
1699,0.794,-0.409,1.439,128.8,-586.9,162.8
1719,1.307,-0.546,0.019,18.5,-950.6,-403.4
1739,1.011,-0.413,-0.518,-41.7,-777.2,-866.1
1762,0.064,0.351,-0.372,-219.1,-794.4,-1030.4
1786,-0.039,0.367,-0.288,-174.5,-828.8,-1030.2
1806,-0.046,0.367,-0.291,-107.1,-840.6,-1027.4
1826,0.52,1.419,0.831,-476.3,-915.5,-23.7
1846,1.538,3.025,3.085,-941.5,-279.2,234.9
1868,1.559,-0.345,1.74,-769.6,-251.3,524.6
1888,0.198,-0.22,0.16,-145.8,-349.4,160.7
1908,-0.026,0.0,-0.023,97.5,-444.2,-127.4
1928,-0.023,0.047,-0.061,200.8,-522.9,-373.6
1951,1.418,10.88,1.026,800.1,-110.5,-139.7
1971,-0.667,1.403,0.025,-10.7,-48.5,-204.1
1993,0.059,0.344,-0.122,-432.6,-229.8,25.2
2013,0.278,0.364,0.276,-452.0,-254.9,147.6
2034,0.031,0.064,-0.01,-385.6,-393.0,256.3
2054,0.053,-0.087,-0.483,-360.7,-1041.3,378.9
2075,3.62,-0.967,-2.387,318.1,-838.2,620.6
2095,1.729,0.487,-1.23,301.0,-204.8,-103.9
2115,1.361,1.165,-0.672,-39.3,4.3,-337.1
2135,0.658,0.244,-0.218,-192.2,134.8,-323.8
2158,-1.039,2.39,0.025,-1240.2,-88.8,537.4
2178,1.133,3.165,3.534,-1439.0,159.8,-294.2
2198,-0.385,0.78,0.254,-1717.5,-270.3,-172.6
2220,0.684,-1.498,1.154,-1432.5,-229.0,-607.6
2240,0.142,0.392,-0.334,-1232.2,-236.0,-891.2
2260,0.152,0.459,-0.328,-1214.2,-258.6,-906.5
2280,1.846,3.401,4.015,-411.9,-152.3,-1430.0
2301,-0.807,2.192,1.369,-89.6,-12.9,-636.2
2321,-0.206,0.563,0.504,-175.3,-356.7,-270.1
2341,-0.027,0.027,-0.036,-196.0,-497.4,-92.9
2361,0.047,0.135,0.094,-216.4,-498.6,-76.0
2381,7.854,1.47,-2.094,-112.4,-17.5,887.3
2402,0.665,0.224,-0.65,31.7,-263.0,644.0
2422,0.572,0.028,-0.695,-62.3,-199.5,-64.3
2442,0.514,-0.164,-0.462,-71.1,87.6,-92.1
2462,0.272,-0.077,0.029,-0.3,393.6,-14.1
2483,0.063,-0.11,0.074,97.5,503.2,5.4
2507,0.697,0.664,2.187,181.6,815.3,-40.8
2527,-0.121,1.223,1.925,-210.4,693.4,255.1
2547,-0.205,-0.057,2.004,-156.3,450.5,281.9
2567,0.042,-0.911,1.503,98.0,-39.4,133.1
2587,0.179,-0.747,0.72,229.2,-553.7,-390.5
2607,-0.013,0.084,-0.111,236.1,-599.1,-435.4
2627,1.881,1.38,-1.019,189.0,-533.4,-870.6
2647,0.501,1.116,-0.38,-23.3,-778.8,-1167.6
2667,0.207,0.8,-0.181,-19.3,-467.1,-1335.1
2687,-0.664,2.66,0.235,-259.2,-311.7,-822.9
2711,0.004,0.179,-0.092,-471.5,-420.1,-660.8
2731,-1.039,-0.713,1.342,222.4,-1029.2,-256.5
2753,1.936,1.417,2.386,-375.8,-933.9,38.7
2773,0.779,0.262,0.114,146.2,-503.2,-508.5
2793,0.29,0.694,0.433,148.2,-261.2,-886.9
2813,-0.217,0.416,0.258,160.3,112.8,-1285.5
2833,-0.163,0.324,-0.257,181.5,317.8,-1139.3
2853,-1.322,-0.133,-0.135,13.0,339.8,-313.8
2873,-1.405,-0.81,0.039,184.5,-90.8,-45.0
2893,-0.854,-0.041,0.087,149.6,-313.0,78.4
2913,-0.52,-0.255,0.031,238.2,-539.7,133.3
2935,-0.463,1.062,0.962,326.4,-98.8,68.5
2955,-0.302,1.278,0.143,387.1,11.1,-187.5
2975,-0.711,1.151,-0.111,164.0,-62.5,-298.6
2995,-0.847,1.228,0.122,-28.0,-76.5,-295.8
3015,-0.773,0.986,0.191,-35.0,-104.5,-311.0
3037,-0.876,0.759,0.081,16.7,-85.4,-381.9
3057,-0.974,0.695,0.123,-13.3,-26.6,-412.0
3080,-1.259,0.39,-0.008,-43.5,-172.9,-260.2
3100,-1.386,0.63,0.223,-104.0,-229.8,-263.9
3120,-1.454,0.65,0.296,-129.2,-218.6,-234.5
3140,-1.402,0.566,0.298,-221.0,-183.6,-254.1
3162,-1.474,0.373,0.069,-298.4,-246.7,-371.7
3182,-1.142,0.0,-0.024,-303.3,-355.9,-402.7
3202,-0.56,-0.019,-0.027,-218.6,-408.7,-418.5
3222,-0.052,0.074,-0.033,-201.1,-393.1,-437.3
3242,-0.013,0.073,-0.034,-188.7,-396.6,-439.0
3262,-0.012,0.073,-0.037,-177.4,-399.5,-440.5
3282,-0.009,0.075,-0.037,-168.8,-401.7,-441.9
3302,-0.009,0.074,-0.043,-156.8,-405.8,-443.7
3324,9.334,-8.053,-3.642,-833.6,-1762.0,-1738.6
3344,-0.116,1.365,-1.535,-594.5,-1895.5,-1818.9
3364,-0.143,1.348,-1.547,-417.7,-1928.3,-1843.3
3384,-0.167,1.318,-1.571,-184.9,-1964.9,-1834.4
3404,-0.18,1.288,-1.59,23.8,-1983.9,-1811.1
3424,-4.766,1.023,-1.007,-165.4,-1737.4,-1943.4
3445,0.073,1.031,-1.236,-195.2,-1705.6,-1628.4
3465,-0.136,1.016,-1.213,7.9,-1726.6,-1605.1
3485,-0.148,0.993,-1.235,149.1,-1739.6,-1575.4
3506,-0.104,1.076,-2.082,360.7,-1712.6,-1495.9
3526,-3.657,-5.762,-4.015,1069.1,-1444.4,-479.2
3546,-0.9,-0.752,-0.412,571.4,-1205.4,-111.0
3566,-0.038,0.041,-0.226,256.0,-1001.1,-194.7
3590,-0.01,0.057,-0.246,261.8,-1001.7,-181.5
3610,-0.175,-4.758,4.827,549.8,-643.2,605.0
3631,-0.007,0.078,0.103,708.5,-555.8,742.7
3651,-0.247,0.212,0.371,654.5,-720.3,665.4
3671,0.192,4.213,4.478,321.3,-483.3,233.7
3691,0.073,0.149,0.162,166.6,-401.2,189.8
3711,0.218,0.319,0.345,181.1,-345.7,108.8
3733,0.799,0.896,0.995,111.3,-253.4,67.4
3753,0.455,0.679,0.771,98.0,-196.4,19.0
3773,0.467,0.531,0.616,98.7,-167.4,-3.7
3793,0.506,0.566,0.588,112.0,-157.9,-24.2
3813,0.505,0.568,0.565,141.6,-161.4,-40.4
3836,0.474,0.545,0.496,207.6,-188.9,-65.6
3860,0.419,0.507,0.383,329.0,-245.7,-105.9
3880,0.362,0.546,0.146,495.4,-344.1,-190.6
3900,1.816,2.265,-0.629,265.2,-193.2,-358.9
3920,0.113,0.409,-0.264,187.9,-211.9,-483.2
3941,0.322,0.686,-0.291,81.1,-210.2,-608.3
3961,-0.46,2.651,-0.843,-536.2,-191.5,-211.3
3981,-0.126,2.203,-0.065,-28.8,69.4,228.4
4001,-0.145,0.219,0.03,46.0,110.8,214.1
4021,-0.117,0.899,0.005,46.2,-10.7,17.2
4041,-0.026,0.99,-0.031,-10.7,-3.4,-9.5
4061,-0.031,1.005,0.03,9.3,-2.4,1.7
4081,-0.032,1.007,0.032,-1.4,-2.8,0.0
4101,-0.029,1.014,0.011,0.7,-2.7,-0.2
4121,-0.031,1.007,0.019,0.9,-2.7,0.1
4141,-0.032,1.005,0.021,1.3,-2.7,0.2
4162,-0.03,1.004,0.021,0.9,-2.7,0.1
4182,-0.03,1.005,0.02,0.9,-2.7,0.0
4202,-0.033,1.007,0.022,0.8,-2.8,0.0
4222,-0.029,1.007,0.02,0.8,-2.8,0.1
4242,-0.028,1.009,0.02,0.9,-2.6,0.1
4263,-0.032,1.01,0.021,0.8,-2.8,0.1
4284,-0.031,1.007,0.021,0.9,-2.7,0.0
4307,-0.03,1.006,0.019,0.8,-2.6,0.0
4327,-0.03,1.004,0.02,0.8,-2.8,0.2
4347,-0.03,1.004,0.02,0.7,-2.7,0.1
4367,-0.033,1.004,0.022,0.9,-2.7,0.1
4389,-0.031,1.008,0.02,0.8,-2.8,0.0
4410,-0.029,1.006,0.019,0.9,-2.5,0.1
4431,-0.032,1.004,0.022,0.9,-2.7,0.0
4451,-0.03,1.007,0.023,0.9,-2.7,0.1
4471,-0.031,1.005,0.022,0.8,-2.6,0.0
4492,-0.03,1.007,0.022,0.7,-2.5,0.0
