time_ms,ax,ay,az,wx,wy,wz
0,1.143,1.062,0.972,14.1,-392.4,-7.4
20,-3.872,1.109,-1.429,11.3,-847.5,-79.9
40,-0.294,1.439,-0.625,-24.8,-406.3,-151.6
60,0.037,1.316,-0.367,-53.4,-290.1,-434.4
80,-0.29,1.493,-0.084,-174.3,-351.9,-221.1
100,-0.509,1.556,-0.037,-111.2,-302.8,-83.3
122,-0.537,1.544,-0.02,-203.7,-280.9,1.7
142,-0.482,1.555,-0.243,-289.1,-237.0,6.3
162,-0.329,1.413,-0.486,-150.2,-473.1,-56.3
183,-0.15,1.171,-0.217,-229.2,-204.6,-64.8
203,-0.176,1.084,0.183,-283.5,-167.9,-182.0
223,-0.293,1.02,-0.106,-443.0,-116.7,-245.0
243,-0.241,0.804,-0.005,-694.3,-89.4,-132.7
263,-0.143,0.23,0.176,-815.1,-201.7,-132.3
284,0.011,0.147,-0.124,-842.3,-166.0,-122.9
304,-0.013,0.133,-0.125,-841.4,-162.6,-129.7
324,2.214,-2.722,1.395,-416.7,154.0,-117.7
344,0.589,-1.914,-0.392,-189.4,236.3,-294.7
364,0.303,-0.883,0.199,135.0,363.5,-396.3
384,0.663,-0.966,0.115,205.6,184.5,-342.4
404,0.748,-1.016,0.25,385.0,229.1,-213.5
424,1.13,-1.446,0.514,477.4,357.1,-10.5
444,0.768,-1.338,0.877,561.4,486.1,155.8
464,0.192,-1.175,1.124,794.5,341.1,211.8
484,-0.187,-0.971,0.884,1046.7,191.3,231.5
504,-0.168,1.817,2.424,1320.3,168.0,-7.2
524,-0.047,0.776,0.549,953.4,622.7,47.2
544,0.177,0.761,0.378,637.8,1027.3,-161.9
566,-0.72,3.134,3.76,49.4,483.0,496.7
586,-0.029,0.475,-0.044,235.2,310.1,963.2
606,0.006,0.237,-0.068,323.1,306.1,963.0
626,0.786,0.545,-0.986,1878.5,-1307.9,845.3
646,0.696,0.489,-0.952,1882.3,-1370.7,895.3
666,0.549,0.697,-1.375,2113.5,-1298.5,511.8
686,0.638,0.635,-1.204,2071.4,-1326.0,582.3
709,0.666,0.589,-1.149,2015.8,-1372.0,642.3
729,0.682,0.536,-1.096,1950.4,-1424.8,723.9
749,1.422,1.27,-5.415,470.0,-213.1,-128.0
769,0.037,0.071,-0.194,471.5,-813.7,-148.2
789,0.021,0.067,-0.199,478.5,-819.9,-126.1
811,0.02,0.063,-0.196,479.6,-821.6,-112.2
831,0.02,0.061,-0.194,481.3,-821.0,-97.8
851,-0.498,0.379,-0.863,1219.2,-995.1,-1055.1
872,-0.136,0.661,-0.828,1293.1,-970.4,-988.5
892,-3.605,-5.132,3.206,684.1,-252.4,-989.0
912,-0.125,0.258,-0.092,476.2,-245.9,-976.6
932,-0.126,0.258,-0.093,503.5,-234.8,-966.9
952,6.394,-6.076,6.828,537.8,153.8,-684.0
974,-0.143,0.142,-0.055,647.2,175.4,-671.5
998,0.599,-0.522,0.568,687.1,412.0,-537.3
1018,0.199,0.15,6.47,262.4,1026.0,-267.8
1038,-3.589,0.28,-0.053,-586.4,198.4,8.4
1059,-0.069,0.0,0.092,80.2,-43.2,479.6
1079,-1.602,-0.162,2.249,60.9,-365.2,468.2
1101,-0.292,1.501,3.365,-146.7,-110.4,175.0
1121,0.131,0.565,1.346,72.3,-3.5,15.9
1143,0.038,0.078,1.14,-91.6,25.9,-2.5
1163,-0.191,-0.21,1.022,28.5,-18.1,1.8
1185,0.022,0.157,1.068,-3.7,0.1,-0.2
1208,-0.061,-0.006,1.044,6.3,-5.7,0.5
1229,-0.057,0.0,1.046,0.2,-2.3,0.2
1249,-0.045,0.008,1.048,0.5,-2.5,0.2
1269,-0.047,0.023,1.051,0.4,-2.3,0.2
1290,-0.05,0.023,1.049,0.5,-2.5,0.2
1310,-0.047,0.024,1.051,0.7,-2.5,0.2
1333,-0.05,0.019,1.051,0.6,-2.5,0.3
1353,-0.05,0.015,1.05,0.7,-2.6,0.1
1375,-0.045,0.02,1.047,0.8,-2.5,0.1
1395,-0.048,0.023,1.053,0.7,-2.6,0.2
1415,-0.048,0.02,1.05,0.7,-2.5,0.2
1435,-0.05,0.017,1.05,0.7,-2.5,0.2
1456,-0.05,0.016,1.049,0.6,-2.6,0.1
1476,-0.049,0.019,1.05,0.7,-2.6,0.0
1496,-0.049,0.022,1.05,0.7,-2.4,0.1
1516,-0.05,0.02,1.047,0.7,-2.6,0.1
1539,-0.05,0.017,1.051,0.6,-2.5,0.1
1559,-0.048,0.018,1.051,0.7,-2.5,0.0
1579,-0.05,0.018,1.049,0.7,-2.6,0.0
1599,-0.049,0.02,1.047,0.7,-2.6,0.0
