time_ms,ax,ay,az,wx,wy,wz
0,0.319,-0.69,1.015,-49.0,48.3,29.8
20,0.314,-1.104,0.907,-64.8,66.9,75.6
40,0.313,-1.321,1.133,-46.7,72.5,71.4
60,0.513,-1.147,1.226,-49.7,132.0,60.9
80,0.55,-1.058,1.037,-70.4,203.4,104.5
102,0.5,-0.759,0.852,-128.5,276.9,159.1
122,0.478,-0.543,0.473,-36.1,328.8,207.5
142,0.323,-0.249,0.476,17.0,448.8,234.4
162,0.076,-0.057,0.269,72.7,596.5,275.1
182,-0.192,-0.261,0.101,221.4,608.9,261.3
202,-0.469,-0.264,0.089,420.7,570.9,334.7
222,-0.095,0.196,-0.129,525.3,550.6,407.6
242,-0.036,0.133,-0.13,538.7,545.4,396.1
262,-0.037,0.132,-0.132,548.1,541.7,385.2
282,-0.101,0.122,-0.637,535.2,517.8,479.5
302,-2.063,-1.055,-0.222,291.9,250.2,424.6
324,-1.232,0.285,-0.739,213.2,124.9,79.8
344,-1.348,0.474,-1.045,53.5,119.2,-144.2
365,-1.142,0.216,-0.933,94.1,10.2,-70.9
385,-1.364,0.463,-0.98,16.6,-137.0,62.6
408,-1.243,1.102,-0.288,42.6,-100.6,104.5
428,-0.802,1.026,0.305,207.6,-61.0,479.9
449,-0.034,0.359,0.225,315.7,-151.4,763.9
469,0.021,0.104,0.051,291.6,-244.3,844.4
491,0.021,0.101,0.051,284.0,-257.7,842.5
511,0.021,0.095,0.051,277.6,-269.3,840.3
531,0.015,0.092,0.052,269.8,-279.8,837.5
551,-5.959,2.636,-3.967,-412.5,-411.7,26.5
571,0.038,0.532,-0.336,-579.6,-95.9,383.3
592,-0.015,0.442,-0.104,-674.3,118.8,743.8
612,5.024,4.806,3.597,548.9,-511.8,395.9
632,1.239,0.594,-1.725,801.7,-330.8,326.2
653,0.712,0.359,-0.857,919.1,-312.1,386.8
673,0.253,0.242,-0.201,905.9,-383.8,446.3
693,0.04,0.427,-0.435,691.4,-398.0,516.1
713,-0.017,0.212,-0.287,64.1,-201.9,608.1
733,-0.595,0.257,-1.323,-184.1,-73.1,264.7
753,-1.111,0.953,-1.038,175.5,328.0,149.1
773,0.033,-0.039,-0.266,412.8,564.5,114.1
793,-0.843,-2.971,-4.381,-67.6,593.1,-294.3
813,1.4,-1.173,-0.891,123.2,634.4,-207.4
834,0.543,-0.825,-0.348,487.2,534.8,212.2
854,0.375,-0.01,0.087,394.9,348.6,367.1
874,-0.012,0.084,-0.045,384.6,343.2,380.0
894,-0.01,0.082,-0.045,392.4,338.8,373.7
914,-0.012,0.081,-0.045,399.2,336.0,369.3
934,0.958,0.471,-0.263,972.9,402.0,699.1
954,3.668,-3.462,1.751,507.5,-91.3,500.5
974,0.519,-0.168,0.256,703.0,390.1,818.1
998,0.004,0.446,-0.424,1011.2,757.1,826.0
1019,-1.118,0.615,1.048,383.1,781.9,-218.9
1039,-0.821,0.429,0.551,240.3,857.8,-454.1
1062,-1.903,-1.241,0.103,46.4,396.9,-224.3
1083,-0.417,-0.339,0.178,33.5,-2.5,-252.9
1103,-0.532,-0.575,0.143,363.0,-190.5,-191.1
1126,0.672,-1.552,1.247,451.7,263.9,278.6
1146,-0.04,-0.27,0.128,569.4,412.6,557.4
1166,-1.468,0.848,1.993,280.9,225.1,590.7
1189,-0.87,0.893,1.007,45.5,396.9,41.6
1209,-0.912,0.369,0.546,-28.4,462.0,-82.8
1229,-0.596,0.138,0.362,-91.0,531.7,-122.7
1252,-0.545,0.277,0.067,-64.9,578.1,-226.6
1272,-0.026,0.001,-0.028,-44.1,584.2,-187.0
1294,-0.022,-0.006,-0.027,-52.0,582.6,-186.3
1314,-0.013,-0.004,-0.028,-61.3,581.4,-184.8
1337,1.965,-0.503,-1.276,-1184.8,1400.0,-183.5
1361,0.225,0.234,-0.747,-1203.0,1363.0,-25.3
1381,0.216,0.25,-0.753,-1214.5,1353.1,40.3
1402,0.198,0.269,-0.765,-1215.9,1347.9,85.4
1422,0.221,0.251,-0.531,-1217.5,1387.6,176.8
1442,-0.742,-0.614,0.501,-48.1,826.4,-282.0
1462,-0.027,-0.023,-0.078,-68.0,825.9,-279.5
1482,-0.02,-0.025,-0.076,-89.9,823.8,-278.4
1502,0.0,-0.004,-0.051,-434.9,807.9,-629.9
1522,0.075,0.0,-0.053,-461.5,795.7,-623.7
1546,-0.168,0.089,0.053,0.0,363.7,-939.6
1566,-0.041,0.086,0.073,-15.6,357.6,-939.6
1586,0.01,0.063,0.587,540.6,199.7,201.7
1606,0.001,-0.062,0.134,-115.7,-218.4,258.0
1626,1.619,-3.193,-0.439,-88.6,-73.6,-72.9
1648,0.33,-0.896,-0.304,51.5,-29.4,127.7
1668,-0.323,-0.785,0.275,32.9,-3.5,-46.2
1689,0.182,-1.006,-0.047,-16.1,-3.2,29.8
1710,-0.018,-0.989,0.095,3.0,-2.5,-7.7
1731,-0.032,-1.006,0.046,1.6,-2.5,-1.5
1751,-0.003,-1.002,0.055,1.0,-2.7,-0.4
1773,-0.007,-1.001,0.056,0.4,-2.4,-0.2
1793,-0.003,-1.0,0.054,0.9,-2.5,0.7
1816,-0.001,-1.002,0.057,0.7,-2.7,0.3
1836,-0.003,-0.998,0.058,0.7,-2.6,0.1
1856,-0.002,-1.002,0.059,0.7,-2.5,0.3
1876,-0.002,-0.999,0.058,0.7,-2.7,0.2
1897,0.0,-1.003,0.059,0.9,-2.6,0.4
1921,-0.004,-1.0,0.058,0.7,-2.6,0.2
1941,-0.002,-1.001,0.058,0.7,-2.6,0.2
1961,-0.002,-1.001,0.059,0.6,-2.5,0.4
1981,0.0,-1.003,0.058,0.8,-2.5,0.2
2003,0.0,-1.0,0.058,0.7,-2.6,0.4
2023,0.001,-1.002,0.057,0.7,-2.7,0.3
2044,0.0,-0.999,0.056,0.7,-2.6,0.2
2064,-0.004,-1.0,0.055,0.8,-2.6,0.4
2086,-0.003,-1.001,0.055,0.7,-2.6,0.2
2106,-0.002,-1.0,0.06,0.7,-2.5,0.2
2126,-0.002,-1.003,0.058,0.6,-2.5,0.3
2146,-0.001,-1.001,0.056,0.7,-2.5,0.2
