time_ms,ax,ay,az,wx,wy,wz
0,-1.591,1.259,2.012,210.4,278.1,-45.6
20,1.411,1.578,0.114,513.1,270.2,-5.0
40,-1.031,1.879,-0.387,57.0,-137.7,-237.5
61,0.702,1.256,-0.794,9.8,-181.3,-258.6
81,0.54,1.469,-0.903,104.7,-232.2,-228.2
101,0.229,1.442,-0.674,120.8,-271.4,-251.4
121,0.247,1.343,-0.541,105.0,-309.1,-284.6
143,0.343,0.983,-0.342,59.6,-352.3,-320.4
163,0.508,0.805,-0.264,33.3,-219.1,-453.9
183,0.322,0.691,0.135,87.9,-84.9,-387.6
203,-0.032,0.012,0.118,149.5,-67.4,-234.8
227,-0.025,-0.23,0.442,162.4,-118.0,-124.5
247,-0.729,-0.464,1.553,179.4,18.5,-121.3
267,-0.911,-0.516,1.282,138.4,437.7,-271.1
287,-1.057,-0.856,0.64,68.1,916.7,-114.2
307,-1.985,-1.187,-0.516,-391.0,1304.7,177.2
327,-0.718,-0.541,-1.177,-597.1,868.0,207.2
347,-0.589,0.626,-2.042,-914.4,767.9,125.3
368,-0.078,0.097,-1.766,-932.6,611.5,-22.0
388,-0.473,1.184,-1.327,-735.7,534.6,60.2
408,-0.01,1.282,-0.669,-869.6,506.3,171.8
428,-0.051,0.857,-0.349,-1295.2,416.4,240.8
450,0.0,0.413,-0.337,-1288.8,431.5,246.1
470,-7.204,-0.915,1.127,-548.1,-612.1,79.1
490,-0.071,0.053,-0.093,-564.7,-604.6,74.2
510,-0.09,0.062,-0.107,-576.2,-597.6,65.8
530,-0.09,0.063,-0.112,-584.9,-589.6,52.1
552,-0.43,0.587,-0.395,-1393.4,-213.9,1271.6
572,-5.245,0.153,0.284,466.6,-224.2,87.2
592,0.011,0.038,-0.013,472.0,-225.7,91.6
612,0.008,0.036,-0.018,472.2,-227.4,99.2
632,-2.797,-2.766,3.073,-548.3,332.9,-445.4
656,0.429,-2.806,-0.558,-374.5,103.1,460.1
676,-0.044,-0.015,0.199,329.2,0.8,244.0
696,-0.268,-1.31,0.064,-231.5,322.4,-76.0
716,-0.243,-0.331,-0.228,66.0,196.9,-344.2
737,-0.352,-2.483,-0.547,-106.9,118.5,113.8
757,-0.105,-1.028,-0.379,105.8,0.2,-23.0
777,0.033,-0.985,0.406,40.1,-2.3,3.9
797,-0.014,-1.059,-0.13,-11.6,-2.6,1.6
817,-0.022,-0.982,0.14,7.4,-2.6,-1.1
837,-0.021,-1.012,0.031,3.0,-2.7,-0.4
857,-0.015,-1.005,0.059,1.6,-2.6,0.1
877,-0.016,-1.003,0.057,1.0,-2.6,0.2
899,-0.018,-1.002,0.054,0.7,-2.5,0.2
919,-0.017,-1.001,0.058,0.7,-2.6,0.0
940,-0.013,-1.002,0.06,0.8,-2.8,0.1
960,-0.009,-1.0,0.061,0.7,-2.5,0.2
980,-0.013,-1.001,0.058,0.7,-2.5,0.3
1000,-0.015,-1.002,0.056,0.8,-2.5,0.3
1020,-0.017,-1.002,0.059,0.8,-2.5,0.2
1043,-0.013,-1.001,0.06,0.7,-2.6,0.0
1063,-0.011,-1.001,0.056,0.7,-2.7,0.2
1083,-0.016,-1.0,0.059,0.7,-2.6,0.2
1103,-0.02,-1.0,0.06,0.6,-2.7,0.1
1124,-0.016,-1.004,0.06,0.7,-2.5,0.1
1144,-0.011,-1.003,0.059,0.7,-2.6,0.2
1166,-0.015,-1.002,0.058,0.7,-2.8,0.2
1186,-0.016,-1.002,0.062,0.7,-2.6,0.3
1206,-0.017,-1.002,0.056,0.7,-2.6,0.1
1226,-0.014,-1.001,0.056,0.7,-2.6,0.2
