time_ms,ax,ay,az,wx,wy,wz
0,-1.184,-0.221,0.051,-21.4,81.5,66.7
20,-1.211,-0.248,0.047,-32.1,166.1,89.4
40,-1.302,-0.3,0.07,-10.6,241.5,104.5
60,-1.224,-0.323,-0.012,14.4,323.0,106.9
81,-1.166,-0.319,-0.029,26.1,385.6,96.8
101,-1.241,-0.199,0.017,32.4,463.3,86.0
124,-1.133,0.069,0.178,85.9,481.9,99.7
144,-1.009,0.064,0.139,123.9,485.8,94.3
164,-0.864,0.16,0.073,166.3,469.7,104.5
184,-0.68,0.183,0.008,216.0,424.2,121.8
204,-0.333,0.035,-0.208,259.3,342.2,124.8
225,0.016,0.066,-0.598,265.7,310.9,130.5
247,0.252,0.012,-0.58,351.7,285.5,176.8
270,0.438,-0.358,-0.593,461.2,221.9,189.9
291,0.681,-0.595,-0.903,478.5,106.9,199.0
312,0.695,-1.132,-0.983,390.1,3.5,181.8
332,0.331,-1.309,-1.093,55.5,-126.3,155.5
352,-0.296,-1.396,-1.504,-151.1,25.8,78.6
373,-0.852,-0.728,-1.651,-287.2,261.0,37.1
393,-0.533,-0.091,-1.837,-429.2,504.0,107.3
414,0.132,0.114,-1.095,-304.3,218.8,-26.3
434,-0.176,0.422,-0.326,-271.4,2.3,106.4
454,-0.005,0.06,-0.085,-324.2,-53.4,151.2
474,-0.034,0.025,0.012,-302.1,-54.8,160.8
494,-0.029,0.023,0.014,-302.8,-52.2,160.7
516,0.48,-0.735,-0.906,-176.6,-124.0,363.3
536,1.869,-1.32,-3.313,417.9,-630.4,378.2
557,-0.815,0.428,-1.027,94.0,-209.4,-29.1
578,-0.767,0.63,-1.185,-464.5,255.6,105.9
601,-0.399,0.664,-0.632,-813.6,470.8,-20.0
624,0.074,1.314,-0.643,-1052.8,-90.6,250.5
644,-0.551,1.184,-0.095,-1181.0,-161.4,670.1
666,-0.026,0.215,-0.489,-1078.4,-74.5,796.5
686,0.181,0.265,-0.07,-305.7,-44.5,394.8
708,-0.006,0.04,-0.073,-236.5,-179.2,420.3
728,0.363,0.204,-0.484,-100.2,-512.0,349.2
750,2.697,1.575,-1.382,38.8,-341.1,99.1
770,0.905,0.647,-0.083,-174.7,10.0,126.2
790,1.602,1.246,0.872,-176.8,374.4,388.0
810,1.717,0.007,1.04,-360.0,556.2,470.0
830,0.832,-0.654,0.642,-520.3,609.9,433.3
