time_ms,ax,ay,az,wx,wy,wz
0,-0.134,1.218,0.528,44.3,-82.6,-0.5
23,-0.128,0.963,-0.056,130.8,65.5,-62.4
43,0.381,1.351,0.134,-267.3,135.8,279.6
65,-0.023,1.155,-0.331,-184.0,-59.7,260.0
85,0.012,0.731,0.087,-36.3,-275.0,162.6
105,0.138,1.058,0.516,-47.1,-155.3,227.7
125,0.119,0.929,0.391,-58.5,-52.7,148.8
145,0.05,0.875,0.154,-69.5,-35.1,109.3
168,0.8,1.282,-0.101,-6.5,-32.9,149.1
188,0.966,1.557,0.195,80.2,-132.6,263.0
208,0.833,1.488,0.335,121.1,-157.7,336.4
229,0.599,1.415,0.536,142.9,-242.9,385.5
249,0.433,1.201,0.449,150.2,-240.4,408.9
269,0.302,0.919,0.394,129.7,-188.7,405.7
290,0.395,0.747,0.494,95.6,-208.2,419.9
310,-0.188,-0.014,0.206,147.2,-194.4,434.0
330,-0.306,-0.028,0.395,172.6,-115.4,375.1
351,-0.005,0.022,0.038,139.0,-100.0,367.8
371,-0.006,0.02,0.038,137.7,-104.2,367.6
391,0.62,-2.973,-3.698,513.7,-597.3,185.2
412,0.408,-0.8,-0.596,569.0,9.3,-9.8
432,0.482,-0.797,-0.785,840.4,115.5,149.9
452,0.823,-1.28,1.216,95.8,-562.1,-125.6
472,2.295,-0.752,-1.393,-174.8,175.0,-479.9
492,1.341,0.293,-0.572,-250.6,310.8,-252.2
512,0.391,0.032,-0.183,-264.3,376.7,-125.3
532,0.001,0.008,0.003,-246.8,359.1,-110.3
552,0.0,0.009,0.004,-249.8,357.4,-108.5
572,0.122,-0.011,0.48,-351.8,243.5,271.0
592,0.517,-0.546,0.063,-1310.9,-256.4,305.6
613,0.671,-4.205,-3.001,-938.9,-135.3,-161.8
633,0.262,-0.286,-3.826,-706.7,155.4,-327.0
653,2.501,1.981,0.488,-443.8,930.1,344.7
677,0.57,0.032,0.377,-502.2,1071.7,635.0
697,0.295,0.263,-0.623,-435.6,1269.9,846.0
720,-0.06,0.375,-0.605,-374.7,1268.4,875.1
740,-0.306,0.271,-0.622,-313.0,1307.2,166.6
760,-0.009,0.0,-0.614,-247.6,1671.8,-58.1
780,0.0,0.008,-0.619,-276.9,1664.6,-36.2
